# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Ukin_new
# 14 Uelm_bnd
# 15 Uelm_out_mvw
# 16 Uelm_inj_mvw
# 17 Dens_solar_electron
# 18 Ntot_solar_electron
# 19 Zavg_solar_electron
# 20 Ukin_solar_electron
# 21 Urad_solar_electron
# 22 Dens_solar_proton
# 23 Ntot_solar_proton
# 24 Zavg_solar_proton
# 25 Ukin_solar_proton
# 26 Urad_solar_proton
# 27 Uelm_Ex
# 28 Uelm_Ey
# 29 Uelm_Ez
# 30 Uelm_Bx_m
# 31 Uelm_By_m
# 32 Uelm_Bz_m
# 33 ExMin
# 34 ExMinCell
# 35 ExMax
# 36 ExMaxCell
# 37 EyMin
# 38 EyMinCell
# 39 EyMax
# 40 EyMaxCell
# 41 EzMin
# 42 EzMinCell
# 43 EzMax
# 44 EzMaxCell
# 45 Bx_mMin
# 46 Bx_mMinCell
# 47 Bx_mMax
# 48 Bx_mMaxCell
# 49 By_mMin
# 50 By_mMinCell
# 51 By_mMax
# 52 By_mMaxCell
# 53 Bz_mMin
# 54 Bz_mMinCell
# 55 Bz_mMax
# 56 Bz_mMaxCell
# 57 JxMin
# 58 JxMinCell
# 59 JxMax
# 60 JxMaxCell
# 61 JyMin
# 62 JyMinCell
# 63 JyMax
# 64 JyMaxCell
# 65 JzMin
# 66 JzMinCell
# 67 JzMax
# 68 JzMaxCell
# 69 RhoMin
# 70 RhoMinCell
# 71 RhoMax
# 72 RhoMaxCell
# 73 PoyXmin
# 74 PoyXminInst
# 75 PoyYmin
# 76 PoyYminInst
# 77 PoyXmax
# 78 PoyXmaxInst
# 79 PoyYmax
# 80 PoyYmaxInst
#
#        time    Ubal_norm         Ubal         Utot         Uexp         Ukin         Urad    UmBWpairs         Uelm     Ukin_bnd  Ukin_out_mvw  Ukin_inj_mvw     Ukin_new     Uelm_bnd  Uelm_out_mvw  Uelm_inj_mvw  Dens_solar_electron  Ntot_solar_electron  Zavg_solar_electron  Ukin_solar_electron  Urad_solar_electron  Dens_solar_proton  Ntot_solar_proton  Zavg_solar_proton  Ukin_solar_proton  Urad_solar_proton      Uelm_Ex      Uelm_Ey      Uelm_Ez    Uelm_Bx_m    Uelm_By_m    Uelm_Bz_m        ExMin    ExMinCell        ExMax    ExMaxCell        EyMin    EyMinCell        EyMax    EyMaxCell        EzMin    EzMinCell        EzMax    EzMaxCell      Bx_mMin  Bx_mMinCell      Bx_mMax  Bx_mMaxCell      By_mMin  By_mMinCell      By_mMax  By_mMaxCell      Bz_mMin  Bz_mMinCell      Bz_mMax  Bz_mMaxCell        JxMin    JxMinCell        JxMax    JxMaxCell        JyMin    JyMinCell        JyMax    JyMaxCell        JzMin    JzMinCell        JzMax    JzMaxCell       RhoMin   RhoMinCell       RhoMax   RhoMaxCell      PoyXmin  PoyXminInst      PoyYmin  PoyYminInst      PoyXmax  PoyXmaxInst      PoyYmax  PoyYmaxInst
    0.000e+00    0.000e+00    0.000e+00    1.415e-01    1.415e-01    6.478e-02    0.000e+00    0.000e+00    7.670e-02    0.000e+00     0.000e+00     0.000e+00    0.000e+00    0.000e+00     0.000e+00     0.000e+00            4.383e+01            4.096e+03           -1.000e+00            4.525e-03            0.000e+00          4.383e+01          4.096e+03          1.000e+00          6.025e-02          0.000e+00    7.021e-03    6.231e-03    0.000e+00    2.526e-02    3.819e-02    0.000e+00   -2.133e+00         8033    2.047e+00         8140   -1.825e+00         8007    1.815e+00         7904    0.000e+00            0    0.000e+00            0   -3.324e+00           58    3.324e+00           69   -4.289e+00           63    1.143e+00           51    0.000e+00            0    0.000e+00            0   -5.738e+00         8056    6.563e+00         7968   -6.796e+00         7937    5.423e+00         7978   -6.415e+00         7964    3.324e+00         8162   -4.490e+02         7904    4.508e+02         7978    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00
    5.353e+00    4.810e-03    9.502e-04    1.975e-01    1.966e-01    1.252e-01    0.000e+00    0.000e+00    7.231e-02    5.321e-03     0.000e+00     0.000e+00    6.227e-02   -1.840e-03     0.000e+00     0.000e+00            6.883e+01            6.432e+03           -1.000e+00            1.719e-02            0.000e+00          8.569e+01          8.008e+03          1.000e+00          1.080e-01          0.000e+00    4.385e-03    8.117e-04    3.165e-07    2.712e-02    3.996e-02    4.088e-05   -6.454e-01         8116    1.330e+00         8190   -5.865e-01         8106    5.910e-01         8184   -3.339e-03         7092    4.258e-03         7948   -3.477e+00           58    3.477e+00           69   -4.570e+00           63    1.195e+00           51   -7.753e-02         8099    8.356e-02         7926   -1.690e+01         8152    1.797e+01         8107   -1.685e+01         7950    1.673e+01         7993   -8.035e+00         7901    6.047e+00         8044   -1.325e+02         7812    1.699e+03         8126    1.791e-03    2.164e-08   -3.089e-04   -9.843e-07   -3.086e-03    1.203e-06   -2.362e-04    1.806e-07
    1.071e+01    1.538e-02    3.963e-03    2.577e-01    2.537e-01    1.799e-01    0.000e+00    0.000e+00    7.774e-02    8.623e-03     0.000e+00     0.000e+00    1.246e-01   -3.716e-03     0.000e+00     0.000e+00            1.014e+02            9.477e+03           -1.000e+00            4.096e-02            0.000e+00          1.269e+02          1.186e+04          1.000e+00          1.390e-01          0.000e+00    1.003e-02    7.862e-04    2.837e-07    2.712e-02    3.974e-02    6.282e-05   -5.114e-01         8130    1.676e+00         8257   -8.777e-01         8072    8.997e-01         8184   -4.307e-03         8139    4.370e-03         8166   -3.478e+00           58    3.476e+00           69   -4.570e+00           63    1.195e+00           75   -1.105e-01         8104    1.325e-01         7990   -1.863e+01         8111    2.112e+01         8105   -2.304e+01         8023    1.835e+01         8046   -7.883e+00         7691    1.065e+01         8039   -9.873e+01         7928    2.362e+03         8129    1.087e-03    1.002e-06   -5.117e-04   -7.291e-07   -3.908e-03    6.621e-07   -3.832e-04    5.132e-08
    1.606e+01    2.772e-02    8.572e-03    3.092e-01    3.007e-01    2.268e-01    0.000e+00    0.000e+00    8.241e-02    2.000e-02     0.000e+00     0.000e+00    1.857e-01   -6.526e-03     0.000e+00     0.000e+00            1.285e+02            1.200e+04           -1.000e+00            5.817e-02            0.000e+00          1.635e+02          1.528e+04          1.000e+00          1.687e-01          0.000e+00    1.457e-02    1.133e-03    2.608e-07    2.711e-02    3.950e-02    9.074e-05   -5.793e-01         8142    1.935e+00         8274   -5.636e-01         8137    5.964e-01         7680   -3.326e-03         7909    5.207e-03         8117   -3.478e+00           58    3.477e+00           69   -4.571e+00           63    1.195e+00           51   -1.746e-01         7988    1.494e-01         8040   -1.750e+01         7885    2.020e+01         8142   -1.891e+01         7991    2.588e+01         8040   -9.198e+00         7761    1.113e+01         7999   -1.173e+02         7622    3.351e+03         8161    3.798e-04   -1.086e-06   -7.099e-04    9.300e-08   -5.678e-03    2.991e-06   -5.179e-04    3.429e-07
    2.141e+01    3.728e-02    1.269e-02    3.405e-01    3.278e-01    2.593e-01    0.000e+00    0.000e+00    8.125e-02    5.153e-02     0.000e+00     0.000e+00    2.469e-01   -9.057e-03     0.000e+00     0.000e+00            1.478e+02            1.381e+04           -1.000e+00            6.095e-02            0.000e+00          1.848e+02          1.727e+04          1.000e+00          1.983e-01          0.000e+00    1.352e-02    1.274e-03    3.318e-07    2.711e-02    3.927e-02    7.973e-05   -6.140e-01         8131    1.844e+00         8287   -5.281e-01         7296    6.035e-01         8169   -5.077e-03         8142    4.944e-03         8132   -3.478e+00           58    3.477e+00           69   -4.570e+00           63    1.196e+00           75   -1.111e-01         8084    1.670e-01         8055   -1.862e+01         8089    1.740e+01         8054   -2.209e+01         7957    1.956e+01         8036   -9.019e+00         7655    1.523e+01         8037   -1.251e+02         7484    3.321e+03         8134   -3.511e-04   -1.059e-06   -8.552e-04   -8.469e-08   -7.188e-03    1.730e-06   -6.628e-04    2.158e-07
    2.677e+01    4.234e-02    1.570e-02    3.708e-01    3.551e-01    2.907e-01    0.000e+00    0.000e+00    8.017e-02    8.434e-02     0.000e+00     0.000e+00    3.093e-01   -1.130e-02     0.000e+00     0.000e+00            1.679e+02            1.569e+04           -1.000e+00            6.566e-02            0.000e+00          2.043e+02          1.909e+04          1.000e+00          2.250e-01          0.000e+00    1.261e-02    1.387e-03    3.053e-07    2.710e-02    3.900e-02    8.147e-05   -6.124e-01         8123    1.808e+00         8294   -5.587e-01         8064    6.182e-01         8021   -3.945e-03         8106    1.038e-02         8156   -3.477e+00           58    3.476e+00           69   -4.571e+00           63    1.195e+00           51   -1.438e-01         7987    1.351e-01         8011   -1.596e+01         8139    1.867e+01         7608   -2.115e+01         7963    1.784e+01         7981   -1.003e+01         7590    1.566e+01         7945   -1.561e+02         7697    3.522e+03         8121   -1.078e-03   -7.212e-07   -9.811e-04   -2.853e-07   -8.415e-03    7.664e-08   -8.230e-04    6.473e-08
    3.212e+01    4.974e-02    2.016e-02    4.054e-01    3.852e-01    3.262e-01    0.000e+00    0.000e+00    7.919e-02    1.139e-01     0.000e+00     0.000e+00    3.711e-01   -1.348e-02     0.000e+00     0.000e+00            1.896e+02            1.772e+04           -1.000e+00            7.174e-02            0.000e+00          2.251e+02          2.104e+04          1.000e+00          2.544e-01          0.000e+00    1.184e-02    1.446e-03    2.975e-07    2.710e-02    3.871e-02    8.552e-05   -5.204e-01         8141    1.614e+00         8220   -5.275e-01         8064    5.703e-01         8192   -3.584e-03         8136    4.876e-03         8102   -3.478e+00           58    3.476e+00           69   -4.571e+00           63    1.195e+00           75   -1.287e-01         7845    1.341e-01         8048   -1.777e+01         8114    1.779e+01         8149   -1.719e+01         8008    1.586e+01         7952   -8.579e+00         7655    1.801e+01         8007   -1.590e+02         7702    3.222e+03         8089   -1.828e-03   -1.216e-07   -1.101e-03    1.252e-07   -9.603e-03    3.825e-06   -9.479e-04    6.335e-07
    3.747e+01    5.589e-02    2.460e-02    4.402e-01    4.156e-01    3.619e-01    0.000e+00    0.000e+00    7.830e-02    1.419e-01     0.000e+00     0.000e+00    4.318e-01   -1.575e-02     0.000e+00     0.000e+00            2.112e+02            1.973e+04           -1.000e+00            7.713e-02            0.000e+00          2.463e+02          2.302e+04          1.000e+00          2.848e-01          0.000e+00    1.105e-02    1.649e-03    2.747e-07    2.710e-02    3.841e-02    8.799e-05   -5.948e-01         8110    1.596e+00         8236   -5.297e-01         7667    5.613e-01         8093   -3.838e-03         7902    3.360e-03         8121   -3.478e+00           58    3.477e+00           69   -4.571e+00           63    1.196e+00           51   -1.303e-01         8144    1.400e-01         7969   -1.723e+01         8097    1.774e+01         8096   -1.659e+01         8151    1.733e+01         8037   -8.637e+00         7443    1.709e+01         8053   -1.578e+02         7666    3.362e+03         8080   -2.637e-03   -2.378e-06   -1.242e-03   -1.008e-08   -1.077e-02    1.200e-06   -1.094e-03   -2.229e-08
    4.283e+01    6.119e-02    2.932e-02    4.791e-01    4.498e-01    4.017e-01    0.000e+00    0.000e+00    7.736e-02    1.675e-01     0.000e+00     0.000e+00    4.939e-01   -1.814e-02     0.000e+00     0.000e+00            2.346e+02            2.192e+04           -1.000e+00            8.522e-02            0.000e+00          2.690e+02          2.513e+04          1.000e+00          3.165e-01          0.000e+00    1.021e-02    1.837e-03    3.010e-07    2.710e-02    3.810e-02    1.112e-04   -5.417e-01         8076    1.496e+00         8294   -5.874e-01         8113    5.377e-01         8192   -3.775e-03         8006    5.892e-03         8178   -3.478e+00           58    3.477e+00           69   -4.570e+00           63    1.195e+00           51   -1.434e-01         7997    1.457e-01         7884   -2.116e+01         8165    1.890e+01         8099   -3.074e+01         7978    2.504e+01         8012   -9.218e+00         7180    1.709e+01         8016   -1.363e+02         7186    3.231e+03         8134   -3.498e-03   -2.916e-07   -1.403e-03   -7.258e-07   -1.201e-02    9.177e-07   -1.233e-03    1.721e-07
    4.818e+01    6.565e-02    3.410e-02    5.195e-01    4.854e-01    4.420e-01    0.000e+00    0.000e+00    7.744e-02    1.923e-01     0.000e+00     0.000e+00    5.567e-01   -2.059e-02     0.000e+00     0.000e+00            2.588e+02            2.418e+04           -1.000e+00            9.335e-02            0.000e+00          2.938e+02          2.745e+04          1.000e+00          3.487e-01          0.000e+00    1.050e-02    1.955e-03    2.576e-07    2.710e-02    3.777e-02    1.137e-04   -4.981e-01         8167    1.564e+00         8273   -5.444e-01         7309    4.766e-01         8184   -3.185e-03         7695    5.847e-03         8073   -3.478e+00           58    3.477e+00           69   -4.570e+00           63    1.196e+00           75   -1.562e-01         7999    1.065e-01         7624   -1.866e+01         8077    1.840e+01         8156   -2.295e+01         7998    1.865e+01         7967   -9.008e+00         7618    1.873e+01         8023   -1.389e+02         7592    3.512e+03         8135   -4.325e-03   -5.522e-07   -1.610e-03   -2.514e-07   -1.326e-02    1.881e-06   -1.385e-03    4.909e-08
