# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Uelm_bnd
# 14 Uelm_out_mvw
# 15 Uelm_inj_mvw
# 16 Dens_solar_ion
# 17 Ntot_solar_ion
# 18 Zavg_solar_ion
# 19 Ukin_solar_ion
# 20 Urad_solar_ion
# 21 Dens_solar_electron
# 22 Ntot_solar_electron
# 23 Zavg_solar_electron
# 24 Ukin_solar_electron
# 25 Urad_solar_electron
# 26 Uelm_Ex
# 27 Uelm_Ey
# 28 Uelm_Ez
# 29 Uelm_Bx_m
# 30 Uelm_By_m
# 31 Uelm_Bz_m
# 32 ExMin
# 33 ExMinCell
# 34 ExMax
# 35 ExMaxCell
# 36 EyMin
# 37 EyMinCell
# 38 EyMax
# 39 EyMaxCell
# 40 EzMin
# 41 EzMinCell
# 42 EzMax
# 43 EzMaxCell
# 44 Bx_mMin
# 45 Bx_mMinCell
# 46 Bx_mMax
# 47 Bx_mMaxCell
# 48 By_mMin
# 49 By_mMinCell
# 50 By_mMax
# 51 By_mMaxCell
# 52 Bz_mMin
# 53 Bz_mMinCell
# 54 Bz_mMax
# 55 Bz_mMaxCell
# 56 JxMin
# 57 JxMinCell
# 58 JxMax
# 59 JxMaxCell
# 60 JyMin
# 61 JyMinCell
# 62 JyMax
# 63 JyMaxCell
# 64 JzMin
# 65 JzMinCell
# 66 JzMax
# 67 JzMaxCell
# 68 RhoMin
# 69 RhoMinCell
# 70 RhoMax
# 71 RhoMaxCell
# 72 PoyXmin
# 73 PoyXminInst
# 74 PoyYmin
# 75 PoyYminInst
# 76 PoyZmin
# 77 PoyZminInst
# 78 PoyXmax
# 79 PoyXmaxInst
# 80 PoyYmax
# 81 PoyYmaxInst
# 82 PoyZmax
# 83 PoyZmaxInst
#
#        time    Ubal_norm         Ubal         Utot         Uexp         Ukin         Urad    UmBWpairs         Uelm     Ukin_bnd  Ukin_out_mvw  Ukin_inj_mvw     Uelm_bnd  Uelm_out_mvw  Uelm_inj_mvw  Dens_solar_ion  Ntot_solar_ion  Zavg_solar_ion  Ukin_solar_ion  Urad_solar_ion  Dens_solar_electron  Ntot_solar_electron  Zavg_solar_electron  Ukin_solar_electron  Urad_solar_electron      Uelm_Ex      Uelm_Ey      Uelm_Ez    Uelm_Bx_m    Uelm_By_m    Uelm_Bz_m        ExMin    ExMinCell        ExMax    ExMaxCell        EyMin    EyMinCell        EyMax    EyMaxCell        EzMin    EzMinCell        EzMax    EzMaxCell      Bx_mMin  Bx_mMinCell      Bx_mMax  Bx_mMaxCell      By_mMin  By_mMinCell      By_mMax  By_mMaxCell      Bz_mMin  Bz_mMinCell      Bz_mMax  Bz_mMaxCell        JxMin    JxMinCell        JxMax    JxMaxCell        JyMin    JyMinCell        JyMax    JyMaxCell        JzMin    JzMinCell        JzMax    JzMaxCell       RhoMin   RhoMinCell       RhoMax   RhoMaxCell      PoyXmin  PoyXminInst      PoyYmin  PoyYminInst      PoyZmin  PoyZminInst      PoyXmax  PoyXmaxInst      PoyYmax  PoyYmaxInst      PoyZmax  PoyZmaxInst
    0.000e+00   -1.364e-06   -7.755e-08    5.686e-02    5.686e-02    2.086e-02    0.000e+00    0.000e+00    3.599e-02    0.000e+00     0.000e+00     0.000e+00    7.755e-08     0.000e+00     0.000e+00       5.479e+01       2.097e+06       1.000e+00       1.520e-02       0.000e+00            5.479e+01            2.097e+06           -1.000e+00            5.669e-03            0.000e+00    1.572e-03    8.605e-04    8.540e-04    3.415e-03    2.830e-02    9.893e-04   -1.009e+00      1040583    8.813e-01      1019280   -9.488e-01      1024364    9.096e-01      1025073   -9.354e-01      1017272    9.077e-01      1015956   -3.309e+00         7487    3.309e+00         8896   -4.271e+00         8127    1.140e+00         6591   -1.254e+00         7493    1.254e+00         7481   -3.325e+00      1017027    3.162e+00      1018271   -3.331e+00      1026014    3.159e+00      1022237   -3.808e+00      1018793    3.002e+00      1023533   -3.406e+02      1029961    3.081e+02      1024208   -3.429e-06   -3.429e-06   -5.655e-08   -5.655e-08   -3.628e-05   -3.628e-05    3.628e-06   -3.628e-06   -5.445e-08    5.445e-08    3.627e-05   -3.627e-05
    5.356e-02   -2.486e-03   -1.414e-04    5.688e-02    5.702e-02    2.244e-02    0.000e+00    0.000e+00    3.444e-02    7.784e-05     0.000e+00     1.105e-04    1.283e-04     0.000e+00     0.000e+00       5.492e+01       2.102e+06       1.000e+00       1.530e-02       0.000e+00            5.472e+01            2.094e+06           -1.000e+00            7.137e-03            0.000e+00    8.845e-04    2.717e-04    2.600e-04    3.502e-03    2.846e-02    1.060e-03   -3.922e-01      1031625    3.963e-01      1027788   -4.638e-01      1018901    4.350e-01      1044416   -4.327e-01      1015836    4.386e-01      1028032   -3.519e+00         7615    3.519e+00         8768   -4.512e+00         8127    1.177e+00         6592   -1.314e+00         7493    1.308e+00         8901   -2.104e+01      1040583    2.172e+01      1019280   -2.269e+01      1029723    2.354e+01      1025072   -2.174e+01      1024363    2.178e+01      1031038   -1.946e+02      1038259    1.697e+02      1030262    1.720e-04    1.935e-05   -8.533e-06   -1.534e-06   -2.958e-04   -2.124e-05    2.727e-05   -5.820e-07   -1.191e-05    1.302e-06    2.452e-04   -1.466e-05
    1.071e-01   -6.019e-04   -3.435e-05    5.707e-02    5.710e-02    2.214e-02    0.000e+00    0.000e+00    3.493e-02    1.679e-04     0.000e+00     2.203e-04    1.920e-04     0.000e+00     0.000e+00       5.505e+01       2.107e+06       1.000e+00       1.527e-02       0.000e+00            5.463e+01            2.091e+06           -1.000e+00            6.869e-03            0.000e+00    9.864e-04    3.569e-04    3.548e-04    3.643e-03    2.850e-02    1.086e-03   -5.791e-01      1032644    5.759e-01      1043726   -6.857e-01      1023795    6.590e-01      1029723   -6.582e-01      1017744    6.247e-01      1024363   -3.550e+00         7487    3.550e+00         8896   -4.575e+00         8127    1.190e+00         6592   -1.339e+00         7492    1.333e+00         8900   -1.393e+01      1040360    1.612e+01      1024365   -1.299e+01      1030205    1.377e+01      1019533   -1.426e+01      1016578    1.395e+01      1023473   -2.197e+02      1017615    2.121e+02      1030213    3.182e-04    7.332e-06   -2.201e-05   -1.353e-06   -4.749e-04   -1.755e-05   -2.973e-07    2.908e-06   -2.562e-05    1.312e-06    3.967e-04   -1.500e-05
    1.607e-01   -4.334e-04   -2.474e-05    5.707e-02    5.710e-02    2.215e-02    0.000e+00    0.000e+00    3.492e-02    2.476e-04     0.000e+00     3.324e-04    1.562e-04     0.000e+00     0.000e+00       5.518e+01       2.112e+06       1.000e+00       1.535e-02       0.000e+00            5.458e+01            2.089e+06           -1.000e+00            6.800e-03            0.000e+00    8.719e-04    3.731e-04    3.690e-04    3.682e-03    2.852e-02    1.106e-03   -5.163e-01      1027435    4.456e-01      1044471   -5.944e-01      1025238    6.109e-01      1023753   -6.126e-01      1017744    5.566e-01      1031634   -3.540e+00         7487    3.540e+00         8896   -4.596e+00         8127    1.212e+00         6592   -1.345e+00         7493    1.339e+00         8901   -1.407e+01      1020501    1.518e+01      1047977   -1.697e+01      1023795    1.985e+01      1031899   -1.663e+01      1031856    2.210e+01      1024491   -2.240e+02      1028577    2.286e+02      1047422    3.476e-04    1.607e-06   -3.535e-05   -1.259e-06   -6.530e-04   -1.708e-05   -9.721e-06    6.661e-07   -3.896e-05    1.387e-06    5.457e-04   -1.530e-05
    2.143e-01    4.940e-04    2.820e-05    5.708e-02    5.705e-02    2.209e-02    0.000e+00    0.000e+00    3.499e-02    3.329e-04     0.000e+00     4.423e-04    8.424e-05     0.000e+00     0.000e+00       5.531e+01       2.117e+06       1.000e+00       1.547e-02       0.000e+00            5.450e+01            2.086e+06           -1.000e+00            6.619e-03            0.000e+00    8.791e-04    3.914e-04    3.871e-04    3.687e-03    2.853e-02    1.118e-03   -6.060e-01      1047849    5.785e-01      1047257   -5.905e-01      1023539    5.742e-01      1029832   -5.976e-01      1027782    5.716e-01      1030217   -3.538e+00         7487    3.538e+00         8896   -4.602e+00         8127    1.208e+00         6592   -1.345e+00         7493    1.340e+00         8901   -1.548e+01      1017955    1.276e+01      1019856   -1.484e+01      1017734    1.581e+01      1031294   -1.536e+01      1031166    1.557e+01      1015954   -2.490e+02      1021344    2.668e+02      1030873    3.401e-04   -5.237e-07   -4.738e-05   -1.084e-06   -8.257e-04   -1.618e-05   -2.281e-05    9.052e-07   -5.212e-05    1.258e-06    6.922e-04   -1.439e-05
    2.678e-01   -4.734e-04   -2.698e-05    5.699e-02    5.702e-02    2.228e-02    0.000e+00    0.000e+00    3.471e-02    4.112e-04     0.000e+00     5.538e-04    2.169e-05     0.000e+00     0.000e+00       5.544e+01       2.122e+06       1.000e+00       1.546e-02       0.000e+00            5.444e+01            2.084e+06           -1.000e+00            6.830e-03            0.000e+00    7.421e-04    3.135e-04    3.146e-04    3.686e-03    2.853e-02    1.125e-03   -4.650e-01      1037852    5.183e-01      1029378   -5.438e-01      1017487    5.402e-01      1022322   -5.913e-01      1016082    5.391e-01      1020314   -3.537e+00         7487    3.537e+00         8896   -4.605e+00         8127    1.206e+00         6592   -1.346e+00         7493    1.340e+00         8901   -1.361e+01      1047848    1.655e+01      1046413   -1.779e+01      1028060    1.756e+01      1029508   -1.848e+01      1027782    1.716e+01      1030450   -2.101e+02      1021468    2.521e+02      1047958    3.227e-04   -1.586e-06   -5.769e-05   -9.740e-07   -9.820e-04   -1.500e-05   -2.409e-05    1.855e-07   -6.334e-05    1.053e-06    8.262e-04   -1.290e-05
    3.214e-01    6.976e-04    3.979e-05    5.703e-02    5.699e-02    2.216e-02    0.000e+00    0.000e+00    3.487e-02    4.841e-04     0.000e+00     6.666e-04   -4.966e-05     0.000e+00     0.000e+00       5.558e+01       2.127e+06       1.000e+00       1.551e-02       0.000e+00            5.443e+01            2.083e+06           -1.000e+00            6.651e-03            0.000e+00    7.840e-04    3.689e-04    3.701e-04    3.685e-03    2.853e-02    1.132e-03   -5.765e-01      1039924    5.491e-01      1018595   -6.406e-01      1029508    6.092e-01      1025929   -6.185e-01      1028894    6.350e-01      1030343   -3.537e+00         7487    3.537e+00         8896   -4.605e+00         8127    1.205e+00         6592   -1.346e+00         7493    1.340e+00         8901   -1.170e+01      1022286    1.498e+01      1023692   -1.633e+01      1032166    1.393e+01      1029949   -1.505e+01      1026133    1.607e+01      1032022   -2.523e+02      1028829    2.801e+02      1033222    3.028e-04   -2.158e-06   -6.712e-05   -9.427e-07   -1.130e-03   -1.505e-05   -3.470e-05    1.343e-06   -7.349e-05    1.011e-06    9.530e-04   -1.260e-05
    3.749e-01    4.354e-04    2.481e-05    5.699e-02    5.696e-02    2.226e-02    0.000e+00    0.000e+00    3.473e-02    5.534e-04     0.000e+00     7.774e-04   -1.166e-04     0.000e+00     0.000e+00       5.571e+01       2.132e+06       1.000e+00       1.564e-02       0.000e+00            5.443e+01            2.083e+06           -1.000e+00            6.618e-03            0.000e+00    6.802e-04    3.544e-04    3.526e-04    3.684e-03    2.853e-02    1.132e-03   -4.913e-01      1031835    4.861e-01      1035754   -6.044e-01      1024747    5.324e-01      1023539   -6.422e-01      1031239    5.664e-01      1024298   -3.537e+00         7487    3.537e+00         8896   -4.605e+00         8127    1.204e+00         6592   -1.346e+00         7493    1.340e+00         8901   -1.549e+01      1020662    1.363e+01      1018723   -1.783e+01      1030850    1.947e+01      1027892   -1.699e+01      1018061    1.741e+01      1030343   -2.109e+02      1029806    3.168e+02      1032717    2.825e-04   -2.347e-06   -7.608e-05   -8.474e-07   -1.278e-03   -1.459e-05   -4.078e-05    8.982e-08   -8.371e-05    9.894e-07    1.079e-03   -1.228e-05
    4.285e-01    7.465e-04    4.255e-05    5.700e-02    5.695e-02    2.229e-02    0.000e+00    0.000e+00    3.471e-02    6.157e-04     0.000e+00     8.879e-04   -1.749e-04     0.000e+00     0.000e+00       5.584e+01       2.137e+06       1.000e+00       1.564e-02       0.000e+00            5.447e+01            2.085e+06           -1.000e+00            6.645e-03            0.000e+00    6.436e-04    3.595e-04    3.629e-04    3.684e-03    2.853e-02    1.133e-03   -4.446e-01      1019534    5.781e-01      1046978   -6.285e-01      1020320    5.735e-01      1017887   -5.884e-01      1018321    7.051e-01      1018121   -3.537e+00         7487    3.537e+00         8896   -4.605e+00         8127    1.204e+00         6592   -1.345e+00         8889    1.340e+00         8901   -1.262e+01      1016396    1.481e+01      1031005   -1.361e+01      1020553    1.699e+01      1031899   -1.796e+01      1017617    1.565e+01      1030343   -2.444e+02      1026317    3.455e+02      1031167    2.621e-04   -2.263e-06   -8.345e-05   -6.625e-07   -1.413e-03   -1.297e-05   -4.359e-05    5.552e-07   -9.280e-05    8.206e-07    1.196e-03   -1.108e-05
    4.821e-01    3.595e-04    2.049e-05    5.698e-02    5.696e-02    2.246e-02    0.000e+00    0.000e+00    3.452e-02    6.642e-04     0.000e+00     9.990e-04   -2.340e-04     0.000e+00     0.000e+00       5.598e+01       2.143e+06       1.000e+00       1.568e-02       0.000e+00            5.459e+01            2.090e+06           -1.000e+00            6.781e-03            0.000e+00    5.262e-04    3.285e-04    3.279e-04    3.684e-03    2.852e-02    1.133e-03   -5.408e-01      1043874    4.536e-01      1025079   -5.802e-01      1031898    5.348e-01      1016835   -6.655e-01      1030343    6.724e-01      1017617   -3.537e+00         7487    3.537e+00         8896   -4.604e+00         8127    1.203e+00         6592   -1.345e+00         8889    1.340e+00         8901   -1.378e+01      1021763    1.766e+01      1046978   -1.767e+01      1027892    1.586e+01      1029605   -1.688e+01      1021516    1.823e+01      1018061   -1.972e+02      1017617    3.597e+02      1032128    2.417e-04   -2.072e-06   -8.938e-05   -5.620e-07   -1.538e-03   -1.212e-05   -5.082e-05    9.362e-07   -1.001e-04    6.670e-07    1.302e-03   -1.035e-05
