# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Uelm_bnd
# 14 Uelm_out_mvw
# 15 Uelm_inj_mvw
# 16 Dens_solar_electron
# 17 Ntot_solar_electron
# 18 Zavg_solar_electron
# 19 Ukin_solar_electron
# 20 Urad_solar_electron
# 21 Dens_solar_ion
# 22 Ntot_solar_ion
# 23 Zavg_solar_ion
# 24 Ukin_solar_ion
# 25 Urad_solar_ion
# 26 Uelm_Ex
# 27 Uelm_Ey
# 28 Uelm_Ez
# 29 Uelm_Bx_m
# 30 Uelm_By_m
# 31 Uelm_Bz_m
# 32 ExMin
# 33 ExMinCell
# 34 ExMax
# 35 ExMaxCell
# 36 EyMin
# 37 EyMinCell
# 38 EyMax
# 39 EyMaxCell
# 40 EzMin
# 41 EzMinCell
# 42 EzMax
# 43 EzMaxCell
# 44 Bx_mMin
# 45 Bx_mMinCell
# 46 Bx_mMax
# 47 Bx_mMaxCell
# 48 By_mMin
# 49 By_mMinCell
# 50 By_mMax
# 51 By_mMaxCell
# 52 Bz_mMin
# 53 Bz_mMinCell
# 54 Bz_mMax
# 55 Bz_mMaxCell
# 56 JxMin
# 57 JxMinCell
# 58 JxMax
# 59 JxMaxCell
# 60 JyMin
# 61 JyMinCell
# 62 JyMax
# 63 JyMaxCell
# 64 JzMin
# 65 JzMinCell
# 66 JzMax
# 67 JzMaxCell
# 68 RhoMin
# 69 RhoMinCell
# 70 RhoMax
# 71 RhoMaxCell
# 72 PoyXmin
# 73 PoyXminInst
# 74 PoyYmin
# 75 PoyYminInst
# 76 PoyZmin
# 77 PoyZminInst
# 78 PoyXmax
# 79 PoyXmaxInst
# 80 PoyYmax
# 81 PoyYmaxInst
# 82 PoyZmax
# 83 PoyZmaxInst
#
#        time    Ubal_norm         Ubal         Utot         Uexp         Ukin         Urad    UmBWpairs         Uelm     Ukin_bnd  Ukin_out_mvw  Ukin_inj_mvw     Uelm_bnd  Uelm_out_mvw  Uelm_inj_mvw  Dens_solar_electron  Ntot_solar_electron  Zavg_solar_electron  Ukin_solar_electron  Urad_solar_electron  Dens_solar_ion  Ntot_solar_ion  Zavg_solar_ion  Ukin_solar_ion  Urad_solar_ion      Uelm_Ex      Uelm_Ey      Uelm_Ez    Uelm_Bx_m    Uelm_By_m    Uelm_Bz_m        ExMin    ExMinCell        ExMax    ExMaxCell        EyMin    EyMinCell        EyMax    EyMaxCell        EzMin    EzMinCell        EzMax    EzMaxCell      Bx_mMin  Bx_mMinCell      Bx_mMax  Bx_mMaxCell      By_mMin  By_mMinCell      By_mMax  By_mMaxCell      Bz_mMin  Bz_mMinCell      Bz_mMax  Bz_mMaxCell        JxMin    JxMinCell        JxMax    JxMaxCell        JyMin    JyMinCell        JyMax    JyMaxCell        JzMin    JzMinCell        JzMax    JzMaxCell       RhoMin   RhoMinCell       RhoMax   RhoMaxCell      PoyXmin  PoyXminInst      PoyYmin  PoyYminInst      PoyZmin  PoyZminInst      PoyXmax  PoyXmaxInst      PoyYmax  PoyYmaxInst      PoyZmax  PoyZmaxInst
    0.000e+00    1.602e-06    9.014e-08    5.627e-02    5.627e-02    2.085e-02    0.000e+00    0.000e+00    3.542e-02    0.000e+00     0.000e+00     0.000e+00   -9.014e-08     0.000e+00     0.000e+00            5.479e+01            2.097e+06           -1.000e+00            5.665e-03            0.000e+00       5.479e+01       2.097e+06       1.000e+00       1.519e-02       0.000e+00    1.572e-03    8.605e-04    8.540e-04    3.415e-03    2.788e-02    8.431e-04   -8.813e-01      1019280    1.009e+00      1040583   -9.096e-01      1025073    9.488e-01      1024364   -9.077e-01      1015956    9.354e-01      1017272   -3.337e+00         7487    3.337e+00         8767   -3.659e+00         8127    1.013e+00         6463   -1.084e+00         7365    1.084e+00         7353   -3.395e+00      1018231    3.134e+00      1020804   -3.208e+00      1028014    3.239e+00      1026780   -3.061e+00      1025497    3.173e+00      1031033   -3.081e+02      1024208    3.406e+02      1029961    3.429e-06    3.429e-06    5.749e-08    5.749e-08    3.627e-05    3.627e-05   -3.628e-06    3.628e-06    5.356e-08   -5.356e-08   -3.628e-05    3.628e-05
    5.356e-02   -4.556e-03   -2.552e-04    5.600e-02    5.626e-02    2.253e-02    0.000e+00    0.000e+00    3.347e-02    5.655e-05     0.000e+00     1.913e-04   -1.491e-04     0.000e+00     0.000e+00            5.485e+01            2.099e+06           -1.000e+00            7.258e-03            0.000e+00       5.524e+01       2.114e+06       1.000e+00       1.527e-02       0.000e+00    8.877e-04    2.764e-04    2.733e-04    3.215e-03    2.794e-02    8.775e-04   -4.228e-01      1034082    4.128e-01      1031625   -4.183e-01      1034773    4.524e-01      1018901   -4.645e-01      1041770    4.151e-01      1001375   -2.910e+00         7487    3.211e+00         8895   -3.698e+00         8127    1.070e+00         9663   -1.138e+00         8889    1.183e+00         8901   -2.364e+01      1019280    2.083e+01      1040583   -2.248e+01      1023795    2.156e+01      1024364   -2.108e+01      1031038    2.210e+01      1016578   -1.630e+02      1030262    1.869e+02      1015835   -1.325e-04   -1.311e-05   -7.599e-06   -1.466e-06    2.787e-04    1.803e-05   -8.121e-06   -8.440e-07   -1.112e-05    1.248e-06   -2.684e-04    1.713e-05
    1.071e-01   -3.762e-03   -2.108e-04    5.605e-02    5.626e-02    2.234e-02    0.000e+00    0.000e+00    3.371e-02    1.202e-04     0.000e+00     3.801e-04   -2.731e-04     0.000e+00     0.000e+00            5.490e+01            2.101e+06           -1.000e+00            6.850e-03            0.000e+00       5.569e+01       2.132e+06       1.000e+00       1.549e-02       0.000e+00    9.806e-04    3.609e-04    3.634e-04    3.131e-03    2.798e-02    8.885e-04   -5.915e-01      1040745    6.186e-01      1019280   -6.329e-01      1030205    6.433e-01      1023795   -6.411e-01      1017614    6.031e-01      1017744   -3.036e+00         7487    3.162e+00         8895   -3.663e+00         8127    1.095e+00         9663   -1.087e+00         7365    1.167e+00         8901   -1.784e+01      1034082    1.398e+01      1031625   -1.516e+01      1024361    1.468e+01      1024364   -1.479e+01      1018369    1.379e+01      1016578   -2.526e+02      1024361    2.109e+02      1027463   -1.785e-04   -8.605e-07   -2.046e-05   -1.284e-06    4.278e-04    1.445e-05   -3.252e-05    2.725e-06   -2.419e-05    1.240e-06   -4.453e-04    1.738e-05
    1.607e-01   -4.009e-03   -2.250e-04    5.611e-02    5.633e-02    2.245e-02    0.000e+00    0.000e+00    3.366e-02    1.827e-04     0.000e+00     5.712e-04   -3.275e-04     0.000e+00     0.000e+00            5.496e+01            2.104e+06           -1.000e+00            6.856e-03            0.000e+00       5.614e+01       2.149e+06       1.000e+00       1.560e-02       0.000e+00    8.721e-04    3.766e-04    3.763e-04    3.138e-03    2.800e-02    8.956e-04   -4.565e-01      1040583    5.706e-01      1019280   -5.868e-01      1028931    5.853e-01      1025238   -5.642e-01      1028088    5.811e-01      1017744   -3.041e+00         7487    3.176e+00         8895   -3.666e+00         8127    1.064e+00         9663   -1.095e+00         7365    1.160e+00         8901   -1.773e+01      1036902    1.343e+01      1032912   -1.829e+01      1031690    1.913e+01      1029681   -1.797e+01      1024491    1.735e+01      1016971   -2.233e+02      1024236    2.249e+02      1025580   -1.730e-04    2.379e-06   -3.295e-05   -1.163e-06    5.737e-04    1.383e-05   -4.164e-05    7.503e-07   -3.664e-05    1.285e-06   -6.170e-04    1.756e-05
    2.143e-01   -3.155e-03   -1.774e-04    5.625e-02    5.643e-02    2.246e-02    0.000e+00    0.000e+00    3.379e-02    2.355e-04     0.000e+00     7.628e-04   -3.736e-04     0.000e+00     0.000e+00            5.507e+01            2.108e+06           -1.000e+00            6.807e-03            0.000e+00       5.659e+01       2.166e+06       1.000e+00       1.565e-02       0.000e+00    9.234e-04    3.991e-04    3.984e-04    3.153e-03    2.801e-02    9.003e-04   -6.159e-01      1047257    5.611e-01      1047976   -6.171e-01      1029681    6.031e-01      1031690   -5.705e-01      1031103    6.274e-01      1024491   -3.038e+00         7487    3.179e+00         8895   -3.671e+00         8127    1.064e+00         9663   -1.096e+00         7365    1.163e+00         8901   -1.407e+01      1027005    1.456e+01      1019852   -1.757e+01      1030205    1.375e+01      1025073   -1.527e+01      1015954    1.464e+01      1031166   -2.302e+02      1030873    2.474e+02      1021344   -1.582e-04    2.083e-06   -4.391e-05   -9.818e-07    7.118e-04    1.273e-05   -5.227e-05    4.514e-07   -4.861e-05    1.128e-06   -7.824e-04    1.598e-05
    2.678e-01   -4.173e-03   -2.349e-04    5.630e-02    5.653e-02    2.272e-02    0.000e+00    0.000e+00    3.358e-02    2.885e-04     0.000e+00     9.482e-04   -4.003e-04     0.000e+00     0.000e+00            5.517e+01            2.112e+06           -1.000e+00            6.846e-03            0.000e+00       5.703e+01       2.183e+06       1.000e+00       1.587e-02       0.000e+00    8.393e-04    3.170e-04    3.224e-04    3.162e-03    2.804e-02    9.042e-04   -4.793e-01      1046595    4.493e-01      1029704   -5.154e-01      1018120    5.834e-01      1017487   -5.359e-01      1017744    5.860e-01      1016082   -3.037e+00         7487    3.179e+00         8895   -3.673e+00         8127    1.067e+00         9663   -1.097e+00         7365    1.164e+00         8901   -1.468e+01      1037799    1.515e+01      1047848   -1.783e+01      1030850    1.943e+01      1025929   -1.951e+01      1016971    1.771e+01      1030660   -1.740e+02      1025400    2.535e+02      1047256   -1.461e-04    1.198e-06   -5.330e-05   -8.830e-07    8.328e-04    1.146e-05   -4.695e-05   -4.414e-07   -5.861e-05    9.301e-07   -9.282e-04    1.386e-05
    3.214e-01   -2.828e-03   -1.597e-04    5.646e-02    5.662e-02    2.265e-02    0.000e+00    0.000e+00    3.380e-02    3.559e-04     0.000e+00     1.139e-03   -4.388e-04     0.000e+00     0.000e+00            5.522e+01            2.113e+06           -1.000e+00            6.640e-03            0.000e+00       5.747e+01       2.200e+06       1.000e+00       1.601e-02       0.000e+00    9.152e-04    3.767e-04    3.796e-04    3.166e-03    2.806e-02    9.091e-04   -5.878e-01      1008236    6.278e-01      1027439   -5.764e-01      1025929    5.794e-01      1029508   -5.719e-01      1020065    6.185e-01      1016971   -3.036e+00         7487    3.180e+00         8895   -3.673e+00         8127    1.067e+00         9663   -1.097e+00         7365    1.164e+00         8901   -1.573e+01      1039013    1.179e+01      1016843   -1.415e+01      1027538    1.829e+01      1017487   -1.470e+01      1031239    1.607e+01      1024491   -2.260e+02      1021256    2.818e+02      1032166   -1.376e-04    5.183e-07   -6.153e-05   -7.961e-07    9.458e-04    1.149e-05   -5.428e-05    1.351e-06   -6.732e-05    8.544e-07   -1.064e-03    1.347e-05
    3.749e-01   -3.396e-03   -1.919e-04    5.652e-02    5.671e-02    2.290e-02    0.000e+00    0.000e+00    3.362e-02    4.156e-04     0.000e+00     1.332e-03   -4.809e-04     0.000e+00     0.000e+00            5.530e+01            2.117e+06           -1.000e+00            6.825e-03            0.000e+00       5.792e+01       2.217e+06       1.000e+00       1.607e-02       0.000e+00    7.603e-04    3.544e-04    3.595e-04    3.167e-03    2.807e-02    9.085e-04   -4.935e-01      1035754    5.000e-01      1031835   -5.344e-01      1029123    6.428e-01      1024747   -5.859e-01      1031018    6.125e-01      1031239   -3.036e+00         7487    3.180e+00         8895   -3.673e+00         8127    1.067e+00         9663   -1.096e+00         7365    1.164e+00         8901   -1.264e+01      1046596    1.763e+01      1027311   -2.026e+01      1027892    1.572e+01      1017887   -1.758e+01      1018321    1.883e+01      1016971   -2.104e+02      1029549    3.349e+02      1032166   -1.321e-04    1.743e-07   -6.905e-05   -7.187e-07    1.058e-03    1.117e-05   -6.255e-05    2.590e-07   -7.607e-05    8.616e-07   -1.199e-03    1.321e-05
    4.285e-01   -3.406e-03   -1.928e-04    5.661e-02    5.680e-02    2.303e-02    0.000e+00    0.000e+00    3.358e-02    4.753e-04     0.000e+00     1.522e-03   -5.163e-04     0.000e+00     0.000e+00            5.538e+01            2.120e+06           -1.000e+00            6.755e-03            0.000e+00       5.837e+01       2.234e+06       1.000e+00       1.627e-02       0.000e+00    6.835e-04    3.656e-04    3.721e-04    3.168e-03    2.808e-02    9.095e-04   -5.910e-01      1046978    4.615e-01      1022352   -6.019e-01      1017887    6.230e-01      1027892   -6.914e-01      1018061    6.233e-01      1018321   -3.036e+00         7487    3.180e+00         8895   -3.672e+00         8127    1.067e+00         9663   -1.096e+00         7365    1.163e+00         8901   -1.556e+01      1029146    1.357e+01      1016396   -1.625e+01      1031898    1.452e+01      1020553   -1.565e+01      1016131    1.858e+01      1017617   -2.342e+02      1018060    3.431e+02      1032166   -1.287e-04    8.550e-08   -7.546e-05   -5.891e-07    1.163e-03    1.014e-05   -6.501e-05    4.248e-07   -8.418e-05    7.498e-07   -1.326e-03    1.206e-05
    4.821e-01   -3.952e-03   -2.239e-04    5.667e-02    5.689e-02    2.332e-02    0.000e+00    0.000e+00    3.335e-02    5.391e-04     0.000e+00     1.711e-03   -5.532e-04     0.000e+00     0.000e+00            5.545e+01            2.122e+06           -1.000e+00            6.885e-03            0.000e+00       5.881e+01       2.251e+06       1.000e+00       1.643e-02       0.000e+00    5.216e-04    3.285e-04    3.291e-04    3.167e-03    2.809e-02    9.093e-04   -4.385e-01      1047929    5.025e-01      1019344   -5.222e-01      1029085    5.316e-01      1029936   -6.360e-01      1017617    6.423e-01      1030343   -3.036e+00         7487    3.180e+00         8895   -3.672e+00         8127    1.067e+00         9663   -1.096e+00         7365    1.163e+00         8901   -1.666e+01      1046978    1.337e+01      1017295   -1.626e+01      1025849    1.769e+01      1025307   -1.717e+01      1018726    1.641e+01      1030788   -1.823e+02      1019133    3.545e+02      1015868   -1.270e-04    1.135e-07   -8.093e-05   -5.462e-07    1.263e-03    9.998e-06   -7.333e-05    1.194e-06   -9.116e-05    6.770e-07   -1.444e-03    1.180e-05
