# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Ukin_new
# 14 Uelm_bnd
# 15 Uelm_out_mvw
# 16 Uelm_inj_mvw
# 17 Dens_solar_electron
# 18 Ntot_solar_electron
# 19 Zavg_solar_electron
# 20 Ukin_solar_electron
# 21 Urad_solar_electron
# 22 Dens_solar_proton
# 23 Ntot_solar_proton
# 24 Zavg_solar_proton
# 25 Ukin_solar_proton
# 26 Urad_solar_proton
# 27 Uelm_Ex
# 28 Uelm_Ey
# 29 Uelm_Ez
# 30 Uelm_Bx_m
# 31 Uelm_By_m
# 32 Uelm_Bz_m
# 33 ExMin
# 34 ExMinCell
# 35 ExMax
# 36 ExMaxCell
# 37 EyMin
# 38 EyMinCell
# 39 EyMax
# 40 EyMaxCell
# 41 EzMin
# 42 EzMinCell
# 43 EzMax
# 44 EzMaxCell
# 45 Bx_mMin
# 46 Bx_mMinCell
# 47 Bx_mMax
# 48 Bx_mMaxCell
# 49 By_mMin
# 50 By_mMinCell
# 51 By_mMax
# 52 By_mMaxCell
# 53 Bz_mMin
# 54 Bz_mMinCell
# 55 Bz_mMax
# 56 Bz_mMaxCell
# 57 JxMin
# 58 JxMinCell
# 59 JxMax
# 60 JxMaxCell
# 61 JyMin
# 62 JyMinCell
# 63 JyMax
# 64 JyMaxCell
# 65 JzMin
# 66 JzMinCell
# 67 JzMax
# 68 JzMaxCell
# 69 RhoMin
# 70 RhoMinCell
# 71 RhoMax
# 72 RhoMaxCell
# 73 PoyXmin
# 74 PoyXminInst
# 75 PoyYmin
# 76 PoyYminInst
# 77 PoyZmin
# 78 PoyZminInst
# 79 PoyXmax
# 80 PoyXmaxInst
# 81 PoyYmax
# 82 PoyYmaxInst
# 83 PoyZmax
# 84 PoyZmaxInst
#
#        time    Ubal_norm         Ubal         Utot         Uexp         Ukin         Urad    UmBWpairs         Uelm     Ukin_bnd  Ukin_out_mvw  Ukin_inj_mvw     Ukin_new     Uelm_bnd  Uelm_out_mvw  Uelm_inj_mvw  Dens_solar_electron  Ntot_solar_electron  Zavg_solar_electron  Ukin_solar_electron  Urad_solar_electron  Dens_solar_proton  Ntot_solar_proton  Zavg_solar_proton  Ukin_solar_proton  Urad_solar_proton      Uelm_Ex      Uelm_Ey      Uelm_Ez    Uelm_Bx_m    Uelm_By_m    Uelm_Bz_m        ExMin    ExMinCell        ExMax    ExMaxCell        EyMin    EyMinCell        EyMax    EyMaxCell        EzMin    EzMinCell        EzMax    EzMaxCell      Bx_mMin  Bx_mMinCell      Bx_mMax  Bx_mMaxCell      By_mMin  By_mMinCell      By_mMax  By_mMaxCell      Bz_mMin  Bz_mMinCell      Bz_mMax  Bz_mMaxCell        JxMin    JxMinCell        JxMax    JxMaxCell        JyMin    JyMinCell        JyMax    JyMaxCell        JzMin    JzMinCell        JzMax    JzMaxCell       RhoMin   RhoMinCell       RhoMax   RhoMaxCell      PoyXmin  PoyXminInst      PoyYmin  PoyYminInst      PoyZmin  PoyZminInst      PoyXmax  PoyXmaxInst      PoyYmax  PoyYmaxInst      PoyZmax  PoyZmaxInst
    0.000e+00   -9.704e-07   -1.112e-07    1.146e-01    1.146e-01    7.986e-02    0.000e+00    0.000e+00    3.471e-02    0.000e+00     0.000e+00     0.000e+00    0.000e+00    1.112e-07     0.000e+00     0.000e+00            5.479e+01            2.097e+06           -1.000e+00            5.669e-03            0.000e+00          5.479e+01          2.097e+06          1.000e+00          7.419e-02          0.000e+00    8.908e-04    8.579e-04    8.299e-04    3.415e-03    2.788e-02    8.431e-04   -8.145e-01      1045930    9.281e-01      1035964   -7.935e-01      1025534    8.661e-01      1030739   -9.455e-01      1025711    8.996e-01      1028920   -3.337e+00         7487    3.337e+00         8767   -3.659e+00         8127    1.013e+00         6463   -1.084e+00         7365    1.084e+00         7353   -3.667e+00      1018770    3.104e+00      1028246   -3.689e+00      1020932    3.241e+00      1024898   -3.276e+00      1025238    3.298e+00      1017057   -3.126e+02      1019888    3.780e+02      1020042    5.174e-06    5.174e-06    8.634e-08    8.634e-08    1.081e-05    1.081e-05   -5.310e-06    5.310e-06    8.043e-08   -8.043e-08   -1.072e-05    1.072e-05
    5.356e-02   -2.118e-03   -2.432e-04    1.148e-01    1.151e-01    8.197e-02    0.000e+00    0.000e+00    3.285e-02    6.412e-05     0.000e+00     0.000e+00    6.807e-04   -1.282e-04     0.000e+00     0.000e+00            5.480e+01            2.098e+06           -1.000e+00            7.173e-03            0.000e+00          5.524e+01          2.115e+06          1.000e+00          7.480e-02          0.000e+00    2.815e-04    2.774e-04    2.697e-04    3.215e-03    2.794e-02    8.682e-04   -3.920e-01      1021246    4.565e-01      1029944   -4.335e-01      1017221    4.637e-01      1042600   -4.216e-01      1019580    3.991e-01      1006571   -2.910e+00         7487    3.211e+00         8895   -3.699e+00         8127    1.070e+00         9663   -1.144e+00         8889    1.177e+00         8901   -1.923e+01      1017483    2.340e+01      1046044   -2.084e+01      1029462    2.186e+01      1023211   -2.318e+01      1025711    2.271e+01      1020531   -1.527e+02      1017093    1.978e+02      1039161   -1.187e-04   -1.213e-05    6.974e-07   -4.474e-09    8.434e-05    5.591e-06   -1.718e-05   -8.946e-07   -3.262e-07    7.938e-08   -7.700e-05    4.776e-06
    1.071e-01   -1.677e-03   -1.935e-04    1.154e-01    1.156e-01    8.227e-02    0.000e+00    0.000e+00    3.315e-02    1.356e-04     0.000e+00     0.000e+00    1.363e-03   -1.901e-04     0.000e+00     0.000e+00            5.482e+01            2.098e+06           -1.000e+00            6.824e-03            0.000e+00          5.570e+01          2.132e+06          1.000e+00          7.544e-02          0.000e+00    4.615e-04    3.607e-04    3.522e-04    3.131e-03    2.797e-02    8.696e-04   -5.534e-01      1030679    6.011e-01      1025611   -5.670e-01      1017764    6.673e-01      1029462   -6.184e-01      1020531    5.845e-01      1017575   -3.036e+00         7487    3.162e+00         8895   -3.663e+00         8127    1.095e+00         9663   -1.093e+00         7365    1.162e+00         8901   -1.554e+01      1044253    1.521e+01      1046044   -1.473e+01      1025534    1.286e+01      1027651   -1.502e+01      1025711    1.260e+01      1018470   -2.443e+02      1025611    2.065e+02      1019888   -1.555e-04    8.186e-08   -3.407e-08   -1.314e-07    1.305e-04    4.417e-06   -3.751e-05    2.487e-06   -1.591e-06    1.354e-07   -1.259e-04    4.860e-06
    1.607e-01   -1.813e-03   -2.103e-04    1.160e-01    1.162e-01    8.288e-02    0.000e+00    0.000e+00    3.313e-02    2.032e-04     0.000e+00     0.000e+00    2.039e-03   -1.920e-04     0.000e+00     0.000e+00            5.484e+01            2.099e+06           -1.000e+00            6.820e-03            0.000e+00          5.615e+01          2.149e+06          1.000e+00          7.606e-02          0.000e+00    3.989e-04    3.733e-04    3.622e-04    3.137e-03    2.799e-02    8.679e-04   -5.371e-01      1035964    4.831e-01      1026179   -5.962e-01      1028054    5.737e-01      1018542   -6.085e-01      1025475    6.012e-01      1019889   -3.041e+00         7487    3.176e+00         8895   -3.667e+00         8127    1.063e+00         9663   -1.101e+00         7365    1.154e+00         8901   -1.368e+01      1024265    1.397e+01      1019370   -1.705e+01      1028616    2.141e+01      1019604   -1.659e+01      1026387    1.967e+01      1019944   -2.217e+02      1025474    2.395e+02      1019888   -1.400e-04    3.394e-06   -1.778e-06   -1.937e-07    1.732e-04    3.863e-06   -4.466e-05    3.370e-07   -2.780e-06    1.129e-07   -1.760e-04    5.240e-06
    2.143e-01   -1.343e-03   -1.567e-04    1.167e-01    1.168e-01    8.334e-02    0.000e+00    0.000e+00    3.333e-02    2.660e-04     0.000e+00     0.000e+00    2.718e-03   -1.891e-04     0.000e+00     0.000e+00            5.489e+01            2.101e+06           -1.000e+00            6.690e-03            0.000e+00          5.660e+01          2.167e+06          1.000e+00          7.665e-02          0.000e+00    5.231e-04    3.962e-04    3.912e-04    3.153e-03    2.800e-02    8.665e-04   -5.911e-01      1035732    5.427e-01      1030195   -6.129e-01      1017367    5.716e-01      1024189   -5.997e-01      1019944    5.705e-01      1018388   -3.038e+00         7487    3.179e+00         8895   -3.671e+00         8127    1.064e+00         9663   -1.103e+00         7365    1.157e+00         8901   -1.412e+01      1024265    1.475e+01      1025611   -1.537e+01      1023211    1.471e+01      1028478   -1.555e+01      1017573    1.459e+01      1030677   -2.178e+02      1029267    2.335e+02      1020171   -1.143e-04    3.187e-06   -3.352e-06   -1.171e-07    2.088e-04    2.996e-06   -5.057e-05    2.179e-07   -3.817e-06    9.707e-08   -2.259e-04    4.787e-06
    2.678e-01   -1.814e-03   -2.126e-04    1.172e-01    1.174e-01    8.411e-02    0.000e+00    0.000e+00    3.313e-02    3.261e-04     0.000e+00     0.000e+00    3.384e-03   -1.801e-04     0.000e+00     0.000e+00            5.495e+01            2.103e+06           -1.000e+00            6.815e-03            0.000e+00          5.705e+01          2.184e+06          1.000e+00          7.729e-02          0.000e+00    4.578e-04    3.130e-04    3.117e-04    3.161e-03    2.802e-02    8.665e-04   -5.056e-01      1041636    5.345e-01      1024265   -5.067e-01      1018020    4.753e-01      1030260   -5.260e-01      1025420    5.917e-01      1017701   -3.037e+00         7487    3.179e+00         8895   -3.673e+00         8127    1.067e+00         9663   -1.103e+00         7365    1.158e+00         8901   -1.434e+01      1037857    1.784e+01      1040296   -1.905e+01      1017987    1.640e+01      1028171   -1.911e+01      1022656    1.806e+01      1020172   -1.749e+02      1026219    2.584e+02      1035604   -9.061e-05    2.385e-06   -4.345e-06   -8.632e-08    2.347e-04    2.250e-06   -4.674e-05   -1.355e-07   -4.858e-06    1.098e-07   -2.682e-04    3.873e-06
    3.214e-01   -1.224e-03   -1.443e-04    1.179e-01    1.180e-01    8.453e-02    0.000e+00    0.000e+00    3.337e-02    3.923e-04     0.000e+00     0.000e+00    4.050e-03   -1.835e-04     0.000e+00     0.000e+00            5.497e+01            2.104e+06           -1.000e+00            6.624e-03            0.000e+00          5.749e+01          2.201e+06          1.000e+00          7.791e-02          0.000e+00    5.697e-04    3.648e-04    3.663e-04    3.164e-03    2.804e-02    8.680e-04   -6.886e-01      1039211    5.452e-01      1037857   -6.226e-01      1031964    5.342e-01      1029624   -6.182e-01      1016817    5.752e-01      1027990   -3.036e+00         7487    3.180e+00         8895   -3.674e+00         8127    1.067e+00         9663   -1.103e+00         7365    1.158e+00         8901   -1.424e+01      1022954    1.446e+01      1030195   -1.524e+01      1029971    1.583e+01      1026996   -1.457e+01      1019530    1.582e+01      1031683   -2.353e+02      1020169    2.987e+02      1044515   -7.002e-05    1.767e-06   -5.156e-06   -9.196e-08    2.566e-04    2.300e-06   -5.434e-05    1.070e-06   -5.773e-06    7.637e-08   -3.048e-04    3.580e-06
    3.749e-01   -1.396e-03   -1.654e-04    1.185e-01    1.187e-01    8.523e-02    0.000e+00    0.000e+00    3.327e-02    4.543e-04     0.000e+00     0.000e+00    4.729e-03   -1.846e-04     0.000e+00     0.000e+00            5.504e+01            2.107e+06           -1.000e+00            6.716e-03            0.000e+00          5.794e+01          2.218e+06          1.000e+00          7.851e-02          0.000e+00    4.939e-04    3.521e-04    3.443e-04    3.165e-03    2.805e-02    8.652e-04   -4.819e-01      1030195    4.866e-01      1021279   -6.288e-01      1026996    5.665e-01      1017508   -5.345e-01      1019901    5.549e-01      1019530   -3.036e+00         7487    3.180e+00         8895   -3.673e+00         8127    1.067e+00         9663   -1.102e+00         7365    1.157e+00         8901   -1.859e+01      1039211    1.481e+01      1039037   -1.681e+01      1020426    1.832e+01      1019605   -1.727e+01      1020172    1.853e+01      1028917   -1.895e+02      1019900    3.520e+02      1044942   -5.184e-05    1.464e-06   -6.386e-06   -1.432e-07    2.808e-04    2.569e-06   -5.870e-05   -5.500e-08   -6.537e-06    7.719e-08   -3.420e-04    3.747e-06
    4.285e-01   -1.288e-03   -1.534e-04    1.191e-01    1.193e-01    8.583e-02    0.000e+00    0.000e+00    3.329e-02    5.134e-04     0.000e+00     0.000e+00    5.399e-03   -1.844e-04     0.000e+00     0.000e+00            5.511e+01            2.110e+06           -1.000e+00            6.684e-03            0.000e+00          5.839e+01          2.235e+06          1.000e+00          7.914e-02          0.000e+00    4.771e-04    3.598e-04    3.605e-04    3.165e-03    2.807e-02    8.647e-04   -6.201e-01      1040776    4.917e-01      1020434   -5.743e-01      1030012    6.890e-01      1020426   -5.937e-01      1026957    5.633e-01      1028340   -3.036e+00         7487    3.180e+00         8895   -3.673e+00         8127    1.066e+00         9663   -1.102e+00         7365    1.157e+00         8901   -1.334e+01      1030195    1.339e+01      1042488   -1.458e+01      1030661    1.594e+01      1025405   -1.361e+01      1019517    1.657e+01      1019530   -1.987e+02      1024392    3.933e+02      1036554   -3.550e-05    1.397e-06   -7.879e-06   -1.478e-07    3.053e-04    2.357e-06   -5.930e-05    2.190e-07   -7.255e-06    6.840e-08   -3.798e-04    3.795e-06
    4.821e-01   -1.568e-03   -1.877e-04    1.197e-01    1.199e-01    8.659e-02    0.000e+00    0.000e+00    3.311e-02    5.683e-04     0.000e+00     0.000e+00    6.078e-03   -1.919e-04     0.000e+00     0.000e+00            5.522e+01            2.114e+06           -1.000e+00            6.822e-03            0.000e+00          5.884e+01          2.252e+06          1.000e+00          7.977e-02          0.000e+00    3.683e-04    3.178e-04    3.175e-04    3.164e-03    2.808e-02    8.631e-04   -4.952e-01      1044719    4.835e-01      1027917   -6.072e-01      1025405    5.472e-01      1030228   -5.330e-01      1019360    5.642e-01      1019645   -3.036e+00         7487    3.180e+00         8895   -3.672e+00         8127    1.066e+00         9663   -1.102e+00         7365    1.157e+00         8901   -1.628e+01      1041484    1.305e+01      1019676   -2.212e+01      1020042    2.321e+01      1020426   -1.468e+01      1030116    1.547e+01      1029991   -1.918e+02      1019645    3.811e+02      1035602   -2.057e-05    1.432e-06   -9.223e-06   -1.263e-07    3.286e-04    2.376e-06   -6.448e-05    8.228e-07   -7.888e-06    6.036e-08   -4.183e-04    3.936e-06
