# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Ukin_new
# 14 Uelm_bnd
# 15 Uelm_out_mvw
# 16 Uelm_inj_mvw
# 17 Dens_solar_electron
# 18 Ntot_solar_electron
# 19 Zavg_solar_electron
# 20 Ukin_solar_electron
# 21 Urad_solar_electron
# 22 Dens_solar_proton
# 23 Ntot_solar_proton
# 24 Zavg_solar_proton
# 25 Ukin_solar_proton
# 26 Urad_solar_proton
# 27 Uelm_Ex
# 28 Uelm_Ey
# 29 Uelm_Ez
# 30 Uelm_Bx_m
# 31 Uelm_By_m
# 32 Uelm_Bz_m
# 33 ExMin
# 34 ExMinCell
# 35 ExMax
# 36 ExMaxCell
# 37 EyMin
# 38 EyMinCell
# 39 EyMax
# 40 EyMaxCell
# 41 EzMin
# 42 EzMinCell
# 43 EzMax
# 44 EzMaxCell
# 45 Bx_mMin
# 46 Bx_mMinCell
# 47 Bx_mMax
# 48 Bx_mMaxCell
# 49 By_mMin
# 50 By_mMinCell
# 51 By_mMax
# 52 By_mMaxCell
# 53 Bz_mMin
# 54 Bz_mMinCell
# 55 Bz_mMax
# 56 Bz_mMaxCell
# 57 JxMin
# 58 JxMinCell
# 59 JxMax
# 60 JxMaxCell
# 61 JyMin
# 62 JyMinCell
# 63 JyMax
# 64 JyMaxCell
# 65 JzMin
# 66 JzMinCell
# 67 JzMax
# 68 JzMaxCell
# 69 RhoMin
# 70 RhoMinCell
# 71 RhoMax
# 72 RhoMaxCell
# 73 PoyXmin
# 74 PoyXminInst
# 75 PoyYmin
# 76 PoyYminInst
# 77 PoyXmax
# 78 PoyXmaxInst
# 79 PoyYmax
# 80 PoyYmaxInst
#
#        time    Ubal_norm         Ubal         Utot         Uexp         Ukin         Urad    UmBWpairs         Uelm     Ukin_bnd  Ukin_out_mvw  Ukin_inj_mvw     Ukin_new     Uelm_bnd  Uelm_out_mvw  Uelm_inj_mvw  Dens_solar_electron  Ntot_solar_electron  Zavg_solar_electron  Ukin_solar_electron  Urad_solar_electron  Dens_solar_proton  Ntot_solar_proton  Zavg_solar_proton  Ukin_solar_proton  Urad_solar_proton      Uelm_Ex      Uelm_Ey      Uelm_Ez    Uelm_Bx_m    Uelm_By_m    Uelm_Bz_m        ExMin    ExMinCell        ExMax    ExMaxCell        EyMin    EyMinCell        EyMax    EyMaxCell        EzMin    EzMinCell        EzMax    EzMaxCell      Bx_mMin  Bx_mMinCell      Bx_mMax  Bx_mMaxCell      By_mMin  By_mMinCell      By_mMax  By_mMaxCell      Bz_mMin  Bz_mMinCell      Bz_mMax  Bz_mMaxCell        JxMin    JxMinCell        JxMax    JxMaxCell        JyMin    JyMinCell        JyMax    JyMaxCell        JzMin    JzMinCell        JzMax    JzMaxCell       RhoMin   RhoMinCell       RhoMax   RhoMaxCell      PoyXmin  PoyXminInst      PoyYmin  PoyYminInst      PoyXmax  PoyXmaxInst      PoyYmax  PoyYmaxInst
    0.000e+00    0.000e+00    0.000e+00    2.125e-02    2.125e-02    0.000e+00    0.000e+00    0.000e+00    2.125e-02    0.000e+00     0.000e+00     0.000e+00    0.000e+00    0.000e+00     0.000e+00     0.000e+00            0.000e+00            0.000e+00                  nan            0.000e+00            0.000e+00          0.000e+00          0.000e+00                nan          0.000e+00          0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    2.125e-02    0.000e+00    0.000e+00            0    0.000e+00            0    0.000e+00            0    0.000e+00            0    0.000e+00            0    0.000e+00            0    0.000e+00            0    0.000e+00            0    2.288e-01            0    2.288e-01            0    0.000e+00            0    0.000e+00            0    0.000e+00            0    0.000e+00            0    0.000e+00            0    0.000e+00            0    0.000e+00            0    0.000e+00            0    0.000e+00            0    0.000e+00            0    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00
    1.069e+00    2.300e-04    7.826e-06    3.403e-02    3.403e-02    1.242e-02    0.000e+00    0.000e+00    2.162e-02    4.247e-04     0.000e+00     0.000e+00    1.311e-02    8.707e-05     0.000e+00     0.000e+00            4.452e+00            1.040e+02           -1.000e+00            3.759e-04            0.000e+00          8.518e+00          1.990e+02          1.000e+00          1.204e-02          0.000e+00    8.653e-05    1.039e-04    1.629e-06    2.069e-06    2.142e-02    4.968e-06   -3.039e-01         8179    2.281e-01         8293   -3.171e-01         8179    3.270e-01         8112   -9.587e-03         8161    1.015e-02         4925   -2.979e-02         8142    2.469e-02         8103    2.157e-01         8013    2.476e-01         8019   -3.933e-02         8111    3.295e-02         8254   -5.655e+00         8109    4.730e+00         8112   -5.481e+00         8125    5.386e+00         8082   -4.771e+00         8145    5.763e+00         8141   -2.744e+01         8052    9.690e+02         8131   -1.417e-04   -9.228e-07   -2.201e-06   -3.138e-08    2.321e-04   -1.737e-06   -1.218e-06    2.018e-08
    2.139e+00    1.895e-03    8.813e-05    4.651e-02    4.642e-02    2.462e-02    0.000e+00    0.000e+00    2.188e-02    8.621e-04     0.000e+00     0.000e+00    2.614e-02   -1.100e-04     0.000e+00     0.000e+00            9.203e+00            2.150e+02           -1.000e+00            9.131e-04            0.000e+00          1.699e+01          3.970e+02          1.000e+00          2.371e-02          0.000e+00    3.342e-04    1.728e-04    1.670e-06    2.738e-06    2.137e-02    5.826e-06   -3.291e-01         8148    3.871e-01         8202   -5.181e-01         8091    3.332e-01         8037   -1.397e-02         7748    8.918e-03         6826   -3.379e-02         8138    3.367e-02         8173    2.102e-01         8050    2.453e-01         8021   -3.470e-02         8268    5.907e-02         8210   -7.367e+00         8210    9.220e+00         8126   -6.645e+00         8137    9.220e+00         8140   -4.833e+00         8149    5.328e+00         8134   -4.905e+01         7972    1.492e+03         8131   -3.290e-04   -1.700e-06   -7.694e-06   -7.047e-08    2.305e-04   -3.507e-07   -3.831e-06    1.853e-08
    3.215e+00    5.574e-03    3.279e-04    5.883e-02    5.850e-02    3.611e-02    0.000e+00    0.000e+00    2.272e-02    1.245e-03     0.000e+00     0.000e+00    3.876e-02   -2.628e-04     0.000e+00     0.000e+00            1.477e+01            3.450e+02           -1.000e+00            1.758e-03            0.000e+00          2.555e+01          5.970e+02          1.000e+00          3.436e-02          0.000e+00    1.037e-03    2.401e-04    1.123e-06    3.220e-06    2.142e-02    1.232e-05   -5.308e-01         8081    8.065e-01         8259   -4.255e-01         8159    3.971e-01         8147   -8.084e-03         7736    9.071e-03         7672   -4.148e-02         8149    5.605e-02         8173    2.058e-01         7995    2.538e-01         8021   -5.357e-02         8264    4.870e-02         8098   -8.764e+00         8098    9.048e+00         8138   -9.581e+00         8157    8.976e+00         8156   -8.422e+00         8149    5.812e+00         8159   -4.214e+01         8040    1.782e+03         8082   -4.733e-04   -1.810e-06   -1.475e-05   -3.687e-08    2.360e-04    3.229e-07   -1.068e-05    4.088e-08
    4.284e+00    8.841e-03    6.177e-04    6.986e-02    6.925e-02    4.581e-02    0.000e+00    0.000e+00    2.406e-02    1.602e-03     0.000e+00     0.000e+00    5.019e-02   -5.987e-04     0.000e+00     0.000e+00            1.995e+01            4.660e+02           -1.000e+00            3.067e-03            0.000e+00          3.300e+01          7.710e+02          1.000e+00          4.274e-02          0.000e+00    2.347e-03    2.952e-04    1.254e-06    3.896e-06    2.139e-02    1.572e-05   -4.884e-01         8142    9.941e-01         8259   -3.747e-01         8103    4.214e-01         8130   -1.044e-02         7785    1.301e-02         7790   -4.090e-02         8125    4.620e-02         8159    2.037e-01         8045    2.593e-01         8021   -6.833e-02         8088    6.050e-02         8084   -1.348e+01         8110    1.772e+01         8083   -1.001e+01         8073    7.915e+00         8156   -7.096e+00         8021    7.707e+00         8092   -4.229e+01         7818    1.931e+03         8082   -6.174e-04   -2.441e-06   -2.204e-05   -6.348e-08    6.001e-05   -5.311e-07   -1.927e-05    3.868e-08
    5.353e+00    9.427e-03    7.731e-04    8.201e-02    8.124e-02    5.665e-02    0.000e+00    0.000e+00    2.536e-02    2.111e-03     0.000e+00     0.000e+00    6.309e-02   -9.929e-04     0.000e+00     0.000e+00            2.671e+01            6.240e+02           -1.000e+00            5.532e-03            0.000e+00          4.178e+01          9.760e+02          1.000e+00          5.112e-02          0.000e+00    3.445e-03    5.008e-04    1.168e-06    6.321e-06    2.137e-02    3.039e-05   -5.985e-01         8034    1.069e+00         8200   -5.741e-01         7998    5.406e-01         8001   -9.716e-03         8114    9.187e-03         7742   -5.201e-02         8125    4.346e-02         8030    2.002e-01         8046    2.654e-01         8021   -1.121e-01         8073    7.653e-02         8110   -1.689e+01         8072    1.787e+01         8108   -1.261e+01         7999    1.007e+01         7960   -1.031e+01         8021    5.860e+00         8112   -1.236e+02         7826    1.922e+03         8072   -7.904e-04   -7.359e-07   -2.921e-05   -3.901e-08   -1.397e-04    3.841e-06   -3.358e-05    3.991e-08
    6.422e+00    1.171e-02    1.088e-03    9.297e-02    9.188e-02    6.530e-02    0.000e+00    0.000e+00    2.768e-02    2.745e-03     0.000e+00     0.000e+00    7.484e-02   -1.471e-03     0.000e+00     0.000e+00            3.227e+01            7.540e+02           -1.000e+00            8.345e-03            0.000e+00          4.948e+01          1.156e+03          1.000e+00          5.695e-02          0.000e+00    5.504e-03    7.792e-04    1.190e-06    6.891e-06    2.134e-02    4.502e-05   -9.993e-01         8004    1.392e+00         8276   -7.586e-01         8119    6.315e-01         8149   -9.115e-03         7388    8.412e-03         7900   -5.972e-02         8178    4.436e-02         8101    2.008e-01         7984    2.672e-01         8051   -8.922e-02         8081    1.425e-01         8087   -1.891e+01         8078    2.720e+01         8081   -1.409e+01         7944    1.787e+01         7953   -1.210e+01         7954    9.004e+00         8023   -2.049e+02         7910    2.105e+03         8174   -9.248e-04   -6.251e-07   -4.382e-05   -1.356e-07   -4.573e-04    5.656e-07   -4.508e-05    9.060e-08
    7.492e+00    1.749e-02    1.842e-03    1.053e-01    1.035e-01    7.583e-02    0.000e+00    0.000e+00    2.947e-02    3.454e-03     0.000e+00     0.000e+00    8.788e-02   -2.219e-03     0.000e+00     0.000e+00            3.899e+01            9.110e+02           -1.000e+00            1.320e-02            0.000e+00          5.800e+01          1.355e+03          1.000e+00          6.263e-02          0.000e+00    6.758e-03    1.234e-03    1.376e-06    7.790e-06    2.138e-02    9.316e-05   -1.098e+00         7990    1.406e+00         8258   -8.400e-01         8091    7.674e-01         8149   -7.226e-03         7963    1.730e-02         7828   -5.896e-02         8050    7.777e-02         8021    1.872e-01         8038    2.622e-01         8278   -1.781e-01         8126    1.919e-01         7993   -1.881e+01         8125    2.634e+01         8085   -1.398e+01         8170    2.371e+01         7993   -9.980e+00         8050    1.029e+01         8150   -1.923e+02         7918    2.222e+03         8082   -1.046e-03   -3.691e-07   -6.407e-05   -9.002e-08   -1.048e-03    7.704e-06   -6.105e-05    1.416e-07
    8.568e+00    2.394e-02    2.770e-03    1.157e-01    1.129e-01    8.357e-02    0.000e+00    0.000e+00    3.211e-02    4.844e-03     0.000e+00     0.000e+00    9.989e-02   -3.397e-03     0.000e+00     0.000e+00            4.439e+01            1.037e+03           -1.000e+00            1.678e-02            0.000e+00          6.605e+01          1.543e+03          1.000e+00          6.679e-02          0.000e+00    9.328e-03    1.409e-03    1.095e-06    8.233e-06    2.126e-02    1.036e-04   -1.076e+00         8003    1.777e+00         8270   -8.950e-01         8091    7.102e-01         8131   -8.143e-03         6970    1.130e-02         8106   -6.261e-02         8047    5.260e-02         8037    1.760e-01         8039    2.536e-01         7970   -1.562e-01         8020    1.486e-01         7985   -2.306e+01         8167    2.683e+01         8173   -2.415e+01         8013    2.113e+01         7984   -9.812e+00         7985    9.448e+00         8038   -2.299e+02         7890    2.660e+03         8136   -1.242e-03   -7.099e-07   -8.449e-05   -3.967e-08   -1.972e-03    7.277e-06   -9.890e-05    2.947e-07
    9.637e+00    2.782e-02    3.468e-03    1.247e-01    1.212e-01    9.097e-02    0.000e+00    0.000e+00    3.368e-02    5.914e-03     0.000e+00     0.000e+00    1.102e-01   -4.399e-03     0.000e+00     0.000e+00            4.974e+01            1.162e+03           -1.000e+00            2.122e-02            0.000e+00          7.311e+01          1.708e+03          1.000e+00          6.975e-02          0.000e+00    1.070e-02    1.546e-03    9.717e-07    1.059e-05    2.130e-02    1.140e-04   -9.906e-01         7945    1.939e+00         8258   -8.457e-01         7870    1.007e+00         8131   -7.442e-03         7043    2.223e-02         8135   -7.232e-02         8048    6.343e-02         7991    1.793e-01         8041    2.736e-01         8048   -1.752e-01         8112    1.849e-01         8051   -3.239e+01         8085    4.016e+01         8177   -2.885e+01         8003    2.453e+01         7994   -1.379e+01         7989    1.284e+01         8041   -1.894e+02         7817    2.786e+03         8136   -1.327e-03   -5.170e-07   -1.215e-04   -2.554e-07   -2.808e-03    8.952e-06   -1.429e-04    3.849e-07
