# 1 time
# 2 Ubal_norm
# 3 Ubal
# 4 Utot
# 5 Uexp
# 6 Ukin
# 7 Urad
# 8 UmBWpairs
# 9 Uelm
# 10 Ukin_bnd
# 11 Ukin_out_mvw
# 12 Ukin_inj_mvw
# 13 Ukin_new
# 14 Uelm_bnd
# 15 Uelm_out_mvw
# 16 Uelm_inj_mvw
# 17 Dens_solar_electron
# 18 Ntot_solar_electron
# 19 Zavg_solar_electron
# 20 Ukin_solar_electron
# 21 Urad_solar_electron
# 22 Dens_solar_proton
# 23 Ntot_solar_proton
# 24 Zavg_solar_proton
# 25 Ukin_solar_proton
# 26 Urad_solar_proton
# 27 Uelm_Ex
# 28 Uelm_Ey
# 29 Uelm_Ez
# 30 Uelm_Bx_m
# 31 Uelm_By_m
# 32 Uelm_Bz_m
# 33 ExMin
# 34 ExMinCell
# 35 ExMax
# 36 ExMaxCell
# 37 EyMin
# 38 EyMinCell
# 39 EyMax
# 40 EyMaxCell
# 41 EzMin
# 42 EzMinCell
# 43 EzMax
# 44 EzMaxCell
# 45 Bx_mMin
# 46 Bx_mMinCell
# 47 Bx_mMax
# 48 Bx_mMaxCell
# 49 By_mMin
# 50 By_mMinCell
# 51 By_mMax
# 52 By_mMaxCell
# 53 Bz_mMin
# 54 Bz_mMinCell
# 55 Bz_mMax
# 56 Bz_mMaxCell
# 57 JxMin
# 58 JxMinCell
# 59 JxMax
# 60 JxMaxCell
# 61 JyMin
# 62 JyMinCell
# 63 JyMax
# 64 JyMaxCell
# 65 JzMin
# 66 JzMinCell
# 67 JzMax
# 68 JzMaxCell
# 69 RhoMin
# 70 RhoMinCell
# 71 RhoMax
# 72 RhoMaxCell
# 73 PoyXmin
# 74 PoyXminInst
# 75 PoyYmin
# 76 PoyYminInst
# 77 PoyZmin
# 78 PoyZminInst
# 79 PoyXmax
# 80 PoyXmaxInst
# 81 PoyYmax
# 82 PoyYmaxInst
# 83 PoyZmax
# 84 PoyZmaxInst
#
#        time    Ubal_norm         Ubal         Utot         Uexp         Ukin         Urad    UmBWpairs         Uelm     Ukin_bnd  Ukin_out_mvw  Ukin_inj_mvw     Ukin_new     Uelm_bnd  Uelm_out_mvw  Uelm_inj_mvw  Dens_solar_electron  Ntot_solar_electron  Zavg_solar_electron  Ukin_solar_electron  Urad_solar_electron  Dens_solar_proton  Ntot_solar_proton  Zavg_solar_proton  Ukin_solar_proton  Urad_solar_proton      Uelm_Ex      Uelm_Ey      Uelm_Ez    Uelm_Bx_m    Uelm_By_m    Uelm_Bz_m        ExMin    ExMinCell        ExMax    ExMaxCell        EyMin    EyMinCell        EyMax    EyMaxCell        EzMin    EzMinCell        EzMax    EzMaxCell      Bx_mMin  Bx_mMinCell      Bx_mMax  Bx_mMaxCell      By_mMin  By_mMinCell      By_mMax  By_mMaxCell      Bz_mMin  Bz_mMinCell      Bz_mMax  Bz_mMaxCell        JxMin    JxMinCell        JxMax    JxMaxCell        JyMin    JyMinCell        JyMax    JyMaxCell        JzMin    JzMinCell        JzMax    JzMaxCell       RhoMin   RhoMinCell       RhoMax   RhoMaxCell      PoyXmin  PoyXminInst      PoyYmin  PoyYminInst      PoyZmin  PoyZminInst      PoyXmax  PoyXmaxInst      PoyYmax  PoyYmaxInst      PoyZmax  PoyZmaxInst
    0.000e+00    0.000e+00    0.000e+00    3.923e-02    3.923e-02    0.000e+00    0.000e+00    0.000e+00    3.923e-02    0.000e+00     0.000e+00     0.000e+00    0.000e+00    0.000e+00     0.000e+00     0.000e+00            0.000e+00            0.000e+00                  nan            0.000e+00            0.000e+00          0.000e+00          0.000e+00                nan          0.000e+00          0.000e+00    0.000e+00    0.000e+00    0.000e+00    4.391e-03    3.431e-02    5.242e-04    0.000e+00            0    0.000e+00            0    0.000e+00            0    0.000e+00            0    0.000e+00            0    0.000e+00            0   -3.337e+00          468    3.337e+00          548   -3.659e+00          508    1.013e+00          404   -4.395e-01          429    4.395e-01          427    0.000e+00            0    0.000e+00            0    0.000e+00            0    0.000e+00            0    0.000e+00            0    0.000e+00            0    0.000e+00            0    0.000e+00            0    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00    0.000e+00
    1.068e+00    1.118e-01    4.472e-03    3.999e-02    3.552e-02    1.840e-03    0.000e+00    0.000e+00    3.815e-02    5.635e-05     0.000e+00     0.000e+00    1.955e-03   -5.609e-03     0.000e+00     0.000e+00            7.223e-01            5.400e+01           -1.000e+00            5.323e-05            0.000e+00          1.324e+00          9.900e+01          1.000e+00          1.787e-03          0.000e+00    3.275e-04    1.861e-04    9.314e-05    3.211e-03    3.381e-02    5.199e-04   -1.070e+00          508    5.934e-01          507   -5.714e-01          556    5.710e-01          468   -3.495e-01          509    4.252e-01          508   -2.692e+00          468    2.848e+00          556   -3.042e+00          508    9.633e-01          604   -5.948e-01          563    5.560e-01          459   -5.648e+00        65054    3.724e+00        64975   -5.979e+00        64831    1.066e+01        64839   -5.692e+00        65255    4.390e+00        64967   -6.481e+01        64030    8.852e+02        65214   -5.535e-03   -3.338e-05   -2.317e-05   -7.917e-08    3.590e-05   -1.354e-07   -1.962e-05   -4.535e-07   -2.026e-05    1.080e-07   -4.711e-05   -3.443e-07
    2.143e+00    2.312e-01    9.668e-03    4.181e-02    3.214e-02    3.583e-03    0.000e+00    0.000e+00    3.823e-02    1.184e-04     0.000e+00     0.000e+00    3.870e-03   -1.084e-02     0.000e+00     0.000e+00            1.378e+00            1.030e+02           -1.000e+00            1.215e-04            0.000e+00          2.622e+00          1.960e+02          1.000e+00          3.461e-03          0.000e+00    3.861e-04    2.089e-04    9.258e-05    3.204e-03    3.382e-02    5.205e-04   -1.071e+00          508    5.931e-01          507   -5.707e-01          556    5.720e-01          468   -3.497e-01          509    4.255e-01          508   -2.692e+00          468    2.849e+00          556   -3.042e+00          508    9.639e-01          604   -5.955e-01          563    5.556e-01          459   -1.054e+01        65358    1.170e+01        65287   -6.293e+00        64599    4.520e+00        65054   -9.295e+00        65359    5.481e+00        65383   -6.963e+01        64263    1.188e+03        65343   -1.078e-02   -3.370e-05   -2.808e-05   -2.150e-08    4.756e-05    1.591e-07    3.025e-05   -7.133e-07   -2.552e-05    2.093e-08   -8.163e-05    2.980e-07
    3.212e+00    3.418e-01    1.485e-02    4.343e-02    2.859e-02    5.107e-03    0.000e+00    0.000e+00    3.833e-02    1.959e-04     0.000e+00     0.000e+00    5.662e-03   -1.611e-02     0.000e+00     0.000e+00            1.980e+00            1.480e+02           -1.000e+00            1.827e-04            0.000e+00          3.812e+00          2.850e+02          1.000e+00          4.925e-03          0.000e+00    5.082e-04    2.556e-04    9.338e-05    3.204e-03    3.374e-02    5.234e-04   -1.071e+00          508    6.761e-01        66382   -5.707e-01          556    5.715e-01          468   -3.495e-01          509    4.250e-01          508   -2.692e+00          468    2.849e+00          556   -3.043e+00          508    9.627e-01          604   -5.952e-01          563    5.555e-01          459   -7.238e+00        65390    1.031e+01        65039   -5.351e+00        63559    6.912e+00        64735   -5.323e+00        64191    8.018e+00        64919   -7.239e+01        64150    1.179e+03        65343   -1.600e-02   -3.328e-05   -3.291e-05   -2.693e-08    6.023e-05    8.973e-08    1.114e-05    6.617e-07   -2.915e-05    1.318e-08   -1.142e-04    2.601e-07
    4.280e+00    4.422e-01    2.004e-02    4.531e-02    2.527e-02    6.757e-03    0.000e+00    0.000e+00    3.855e-02    2.505e-04     0.000e+00     0.000e+00    7.605e-03   -2.131e-02     0.000e+00     0.000e+00            2.943e+00            2.200e+02           -1.000e+00            3.543e-04            0.000e+00          5.083e+00          3.800e+02          1.000e+00          6.402e-03          0.000e+00    6.455e-04    3.093e-04    9.351e-05    3.207e-03    3.377e-02    5.259e-04   -1.071e+00          508    8.477e-01        66374   -6.911e-01        65007    5.701e-01          468   -3.496e-01          509    4.248e-01          508   -2.692e+00          468    2.849e+00          556   -3.043e+00          508    9.631e-01          604   -5.953e-01          563    5.558e-01          459   -8.884e+00        64695    9.042e+00        65399   -8.411e+00        65271    8.500e+00        65054   -1.023e+01        64191    9.316e+00        63567   -8.029e+01        63166    1.364e+03        65039   -2.115e-02   -3.333e-05   -3.632e-05   -5.556e-08    8.169e-05    2.132e-07   -1.019e-04    4.533e-07   -3.230e-05    4.120e-09   -7.177e-05   -1.693e-07
    5.355e+00    5.354e-01    2.531e-02    4.727e-02    2.196e-02    8.417e-03    0.000e+00    0.000e+00    3.885e-02    3.203e-04     0.000e+00     0.000e+00    9.611e-03   -2.656e-02     0.000e+00     0.000e+00            3.893e+00            2.910e+02           -1.000e+00            6.052e-04            0.000e+00          6.447e+00          4.820e+02          1.000e+00          7.812e-03          0.000e+00    8.224e-04    3.666e-04    9.505e-05    3.215e-03    3.383e-02    5.206e-04   -1.071e+00          508    9.274e-01        64590   -1.026e+00        65295    7.623e-01        65343   -3.503e-01          509    4.252e-01          508   -2.692e+00          468    2.849e+00          556   -3.042e+00          508    9.635e-01          604   -5.945e-01          563    5.562e-01          459   -1.400e+01        64711    1.639e+01        64759   -1.434e+01        65335    1.127e+01        65390   -9.448e+00        64911    1.121e+01        63567   -9.574e+01        63758    1.570e+03        65039   -2.638e-02   -3.291e-05   -4.118e-05   -2.223e-08    9.501e-05    2.220e-07   -1.564e-04    6.997e-07   -3.608e-05    3.276e-08   -3.982e-05   -5.027e-07
    6.423e+00    6.264e-01    3.062e-02    4.889e-02    1.826e-02    9.641e-03    0.000e+00    0.000e+00    3.925e-02    3.703e-04     0.000e+00     0.000e+00    1.134e-02   -3.194e-02     0.000e+00     0.000e+00            4.775e+00            3.570e+02           -1.000e+00            8.593e-04            0.000e+00          7.571e+00          5.660e+02          1.000e+00          8.781e-03          0.000e+00    1.113e-03    4.739e-04    9.751e-05    3.211e-03    3.383e-02    5.208e-04   -1.072e+00          508    1.381e+00        64583   -8.631e-01        65351    1.012e+00        65343   -3.490e-01          509    4.259e-01          508   -2.692e+00          468    2.849e+00          556   -3.042e+00          508    9.640e-01          604   -5.947e-01          563    5.559e-01          459   -1.793e+01        64719    1.772e+01        65126   -1.756e+01        64359    1.327e+01        64135   -1.630e+01        63999    2.150e+01        64839   -1.508e+02        63031    1.534e+03        65039   -3.161e-02   -3.397e-05   -4.683e-05   -4.265e-08    8.137e-05   -1.840e-07   -3.057e-04    1.226e-06   -4.142e-05    3.927e-08   -1.546e-05    6.241e-07
    7.498e+00    7.136e-01    3.596e-02    5.039e-02    1.443e-02    1.078e-02    0.000e+00    0.000e+00    3.961e-02    4.213e-04     0.000e+00     0.000e+00    1.302e-02   -3.739e-02     0.000e+00     0.000e+00            5.672e+00            4.240e+02           -1.000e+00            1.268e-03            0.000e+00          8.708e+00          6.510e+02          1.000e+00          9.512e-03          0.000e+00    1.397e-03    6.066e-04    1.009e-04    3.212e-03    3.377e-02    5.261e-04   -1.535e+00        63567    1.417e+00        64598   -1.438e+00        64591    1.101e+00        65374   -3.492e-01          509    4.272e-01          508   -2.692e+00          468    2.848e+00          556   -3.040e+00          508    9.657e-01          604   -5.947e-01          563    5.557e-01          459   -1.881e+01        65246    1.441e+01        64647   -1.530e+01        65358    1.508e+01        64199   -1.139e+01        64743    1.224e+01        63703   -2.505e+02        62543    1.506e+03        65031   -3.688e-02   -3.291e-05   -5.209e-05   -8.377e-08    7.954e-05    1.015e-07   -4.750e-04    1.643e-06   -4.846e-05    1.747e-08   -2.266e-05   -1.723e-07
    8.566e+00    7.958e-01    4.129e-02    5.188e-02    1.059e-02    1.205e-02    0.000e+00    0.000e+00    3.983e-02    5.129e-04     0.000e+00     0.000e+00    1.474e-02   -4.287e-02     0.000e+00     0.000e+00            6.568e+00            4.910e+02           -1.000e+00            1.883e-03            0.000e+00          9.858e+00          7.370e+02          1.000e+00          1.017e-02          0.000e+00    1.542e-03    6.591e-04    1.007e-04    3.213e-03    3.378e-02    5.337e-04   -1.270e+00        63574    1.501e+00        64583   -1.211e+00        65399    1.109e+00        64975   -3.489e-01          509    4.243e-01          508   -2.692e+00          468    2.849e+00          556   -3.043e+00          508    9.621e-01          604   -5.951e-01          563    5.561e-01          459   -2.993e+01        65047    2.156e+01        65095   -2.265e+01        63974    2.972e+01        64023   -1.429e+01        63983    1.637e+01        63711   -1.870e+02        63254    1.637e+03        65039   -4.207e-02   -3.384e-05   -5.858e-05   -5.854e-08    8.244e-05   -1.979e-07   -7.911e-04    2.657e-06   -5.702e-05    5.270e-08    2.827e-05    4.619e-07
    9.635e+00    8.737e-01    4.664e-02    5.337e-02    6.739e-03    1.330e-02    0.000e+00    0.000e+00    4.007e-02    5.757e-04     0.000e+00     0.000e+00    1.651e-02   -4.842e-02     0.000e+00     0.000e+00            7.571e+00            5.660e+02           -1.000e+00            2.462e-03            0.000e+00          1.104e+01          8.250e+02          1.000e+00          1.084e-02          0.000e+00    1.712e-03    7.586e-04    1.037e-04    3.211e-03    3.376e-02    5.261e-04   -1.372e+00        63559    1.636e+00        64583   -1.164e+00        64606    1.100e+00        64999   -3.508e-01          509    4.270e-01          508   -2.692e+00          468    2.848e+00          556   -3.041e+00          508    9.645e-01          604   -5.949e-01          563    5.546e-01          459   -2.876e+01        64999    2.579e+01        65054   -2.524e+01        64023    2.365e+01        64038   -2.007e+01        63607    1.872e+01        64119   -2.059e+02        62535    1.766e+03        65039   -4.723e-02   -3.185e-05   -6.854e-05   -6.510e-08    1.056e-04    5.202e-07   -1.219e-03    2.429e-06   -6.386e-05    5.738e-08    5.553e-05   -3.209e-07
    1.071e+01    9.452e-01    5.206e-02    5.508e-02    3.018e-03    1.475e-02    0.000e+00    0.000e+00    4.033e-02    7.449e-04     0.000e+00     0.000e+00    1.862e-02   -5.409e-02     0.000e+00     0.000e+00            8.521e+00            6.370e+02           -1.000e+00            2.912e-03            0.000e+00          1.237e+01          9.250e+02          1.000e+00          1.184e-02          0.000e+00    1.830e-03    8.784e-04    1.036e-04    3.209e-03    3.375e-02    5.525e-04   -1.454e+00        63559    1.419e+00        66031   -1.541e+00        65311    1.035e+00        64695   -3.485e-01          509    4.243e-01          508   -2.692e+00          468    2.849e+00          556   -3.043e+00          508    9.629e-01          604   -5.950e-01          563    5.568e-01          459   -2.210e+01        65255    2.598e+01        64735   -2.273e+01        63591    1.854e+01        64150   -2.124e+01        63983    2.810e+01        63823   -2.279e+02        62966    1.799e+03        65039   -5.244e-02   -3.517e-05   -7.627e-05   -4.388e-08    1.317e-04    1.373e-07   -1.701e-03    4.800e-06   -7.445e-05    1.301e-07    7.605e-05    1.136e-07
    1.178e+01    1.016e+00    5.738e-02    5.646e-02   -9.143e-04    1.601e-02    0.000e+00    0.000e+00    4.045e-02    8.900e-04     0.000e+00     0.000e+00    2.042e-02   -5.968e-02     0.000e+00     0.000e+00            9.417e+00            7.040e+02           -1.000e+00            3.392e-03            0.000e+00          1.356e+01          1.014e+03          1.000e+00          1.262e-02          0.000e+00    1.913e-03    9.141e-04    1.065e-04    3.211e-03    3.376e-02    5.451e-04   -1.077e+00        64839    1.495e+00        64790   -1.168e+00        65166    1.054e+00        64311   -3.505e-01          509    4.243e-01          508   -2.694e+00          468    2.848e+00          556   -3.043e+00          508    9.632e-01          604   -5.951e-01          563    5.562e-01          459   -2.152e+01        65271    2.653e+01        65054   -3.111e+01        64198    2.896e+01        64223   -2.275e+01        64151    2.010e+01        64367   -2.212e+02        63094    1.787e+03        65358   -5.760e-02   -3.447e-05   -8.612e-05   -5.412e-08    1.676e-04    5.399e-07   -2.108e-03    3.684e-06   -8.679e-05    5.795e-08    4.050e-05    7.195e-07
    1.285e+01    1.082e+00    6.282e-02    5.807e-02   -4.757e-03    1.742e-02    0.000e+00    0.000e+00    4.065e-02    1.121e-03     0.000e+00     0.000e+00    2.251e-02   -6.537e-02     0.000e+00     0.000e+00            1.037e+01            7.750e+02           -1.000e+00            3.776e-03            0.000e+00          1.491e+01          1.115e+03          1.000e+00          1.364e-02          0.000e+00    2.102e-03    9.590e-04    1.101e-04    3.218e-03    3.372e-02    5.414e-04   -1.149e+00        65319    1.555e+00        66047   -1.272e+00        65238    1.403e+00        64790   -3.498e-01          509    4.265e-01          508   -2.692e+00          468    2.849e+00          556   -3.041e+00          508    9.635e-01          604   -5.961e-01          563    5.552e-01          459   -2.136e+01        64190    2.972e+01        64918   -2.745e+01        64054    2.638e+01        64342   -2.255e+01        63783    2.750e+01        64383   -2.156e+02        63286    1.978e+03        65374   -6.279e-02   -3.315e-05   -9.405e-05   -5.736e-08    2.058e-04    1.102e-07   -2.666e-03    3.292e-06   -9.537e-05    5.380e-08    6.572e-05   -9.084e-07
    1.392e+01    1.143e+00    6.841e-02    5.983e-02   -8.576e-03    1.884e-02    0.000e+00    0.000e+00    4.099e-02    1.363e-03     0.000e+00     0.000e+00    2.450e-02   -7.094e-02     0.000e+00     0.000e+00            1.142e+01            8.540e+02           -1.000e+00            4.286e-03            0.000e+00          1.625e+01          1.215e+03          1.000e+00          1.456e-02          0.000e+00    2.209e-03    1.051e-03    1.110e-04    3.219e-03    3.386e-02    5.432e-04   -1.341e+00        64230    1.422e+00        65750   -1.667e+00        64798    1.322e+00        64231   -3.515e-01          509    4.245e-01          508   -2.692e+00          468    2.849e+00          556   -3.043e+00          508    9.625e-01          604   -5.948e-01          563    5.554e-01          459   -2.284e+01        64799    4.113e+01        65431   -3.271e+01        64255    3.146e+01        64023   -2.260e+01        64279    2.652e+01        64191   -4.278e+02        63206    1.958e+03        65374   -6.800e-02   -3.334e-05   -1.054e-04   -1.231e-07    2.392e-04   -5.688e-08   -3.051e-03    1.666e-06   -1.064e-04    1.318e-07    8.552e-05   -3.835e-08
    1.499e+01    1.212e+00    7.399e-02    6.105e-02   -1.293e-02    1.973e-02    0.000e+00    0.000e+00    4.133e-02    1.543e-03     0.000e+00     0.000e+00    2.612e-02   -7.674e-02     0.000e+00     0.000e+00            1.233e+01            9.220e+02           -1.000e+00            4.616e-03            0.000e+00          1.735e+01          1.297e+03          1.000e+00          1.511e-02          0.000e+00    2.511e-03    1.185e-03    1.150e-04    3.218e-03    3.375e-02    5.524e-04   -1.884e+00        64295    1.545e+00        66014   -1.458e+00        65335    1.319e+00        64303   -3.524e-01          509    4.256e-01          508   -2.692e+00          468    2.849e+00          556   -3.042e+00          508    9.644e-01          604   -5.941e-01          563    5.560e-01          459   -2.457e+01        64959    2.728e+01        65302   -3.225e+01        64390    3.147e+01        64015   -2.121e+01        64263    2.348e+01        63999   -3.410e+02        63206    2.099e+03        65374   -7.322e-02   -3.260e-05   -1.148e-04   -1.237e-07    2.387e-04    2.212e-07   -3.582e-03    5.630e-06   -1.223e-04    2.231e-07    6.261e-05   -8.409e-08
